	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_0	0	0.0932998	0.025517	0.0142273	0.00630128	0.00927633	0.000921247	0.00127919	0.000409535	0.000207347	0.0061723	0.0018425	5.10102e-05	0.00730936	2.09833e-05	2.86062e-05	1.3562e-05	2.89185e-05	9.32141e-06	0	1.54303e-05	0	2.86813e-06	0	5.01922e-06	1.43406e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0688534	0.00047436	0.00315514	0.000821806	0.000929547	0.00700911	7.51067e-05	0.000139174	0.000526718	4.90931e-05	5.43954e-05	1.60906e-05	5.2448e-05	5.31986e-06	1.87235e-05	1.43406e-06	0	0	0	0	0	0	0	0	0	3.47669e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0274884	0.00818986	0.000394148	0.000554732	0.0010697	0.00622495	0.000937995	2.65302e-05	0.00719538	6.0977e-05	0.00718286	0.000689409	1.87774e-05	2.3639e-05	0.00206144	1.74211e-05	0	4.66071e-06	0	0	6.0289e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0131771	0.00701031	0.00103031	0.00147363	0.000626864	0.000188177	0.000124055	7.2823e-05	0.0018412	5.55944e-05	5.56796e-05	6.02808e-05	0.000451003	0	0.00034217	1.11503e-05	1.79258e-06	1.56736e-05	0	0	4.30419e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.0195294	0.000308169	0.000557264	0.000154124	9.90227e-05	8.72446e-05	8.2699e-05	0.000113013	5.32214e-05	5.29069e-05	5.25022e-05	5.16312e-05	9.54081e-06	4.00942e-05	5.56245e-05	2.93416e-06	4.30219e-06	2.93937e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.0039336	0.00115181	0.000708722	0.000367374	0.00021958	0.000852083	0.000143094	0.000116785	8.18297e-05	4.93685e-05	5.16551e-05	7.52883e-06	0.000731369	7.52883e-06	0.000858913	8.9629e-06	6.89244e-06	2.83715e-05	0	0	4.99923e-05	3.57819e-05	0	0	6.45651e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00795883	0.000224087	0.00632275	0.000589093	0.000111885	0.000150008	8.83621e-05	5.83366e-05	0.000109256	6.62857e-05	9.1526e-05	4.29657e-05	9.5353e-06	8.24586e-06	2.57585e-05	6.09477e-06	1.58133e-06	0	0	0	3.20205e-05	0	0	0	0	0	0	0	3.20153e-05	0	1.26519e-05	0.000322368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00142039	0.000205057	0.000569573	0.000196866	0.00579051	0.0121998	7.90575e-05	6.97166e-05	3.76684e-05	0.000159328	1.54942e-05	0.00011547	0.00127439	0.00483552	4.30219e-06	1.13708e-05	1.79601e-05	0	0	0	7.17032e-07	7.17032e-07	0	0	0	0	0	0	0	0	0	0	0	0.000240584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.000925059	0.000615953	8.90122e-05	7.82402e-05	5.72255e-05	5.25134e-05	0.00606875	0.000113303	4.35471e-05	1.98309e-05	0.00169822	3.83614e-05	1.48316e-05	1.43406e-06	1.65161e-05	6.43372e-05	0.0017656	0	0	3.38026e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.00125943	0.000573058	0.000118196	0.000441242	0.000679082	2.47376e-05	9.8717e-05	0.000310491	3.16531e-05	8.94837e-05	3.89041e-05	7.17032e-07	8.77724e-06	2.94562e-05	1.95074e-05	2.53251e-05	0.00130338	0	2.26481e-05	1.43406e-06	1.8099e-06	0	0	0.000874681	0	0.000812477	0	0	0	0	0	0	0	0	1.09369e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_10	0.00166102	0.000344858	3.4059e-05	0.000107926	2.65302e-05	6.54292e-05	0.00570315	6.59678e-05	0.00199187	0.00691227	0.00193306	9.78138e-06	1.4322e-05	4.66071e-06	0	0.000594681	8.43696e-06	0	5.13377e-07	8.73382e-06	0	0	0	0.0064652	1.06108e-05	0	0	1.29141e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_11	0.00178924	6.53152e-05	0.000119956	0.00213884	8.79185e-05	0.000513746	0.00170548	0.00132478	4.01136e-05	1.07555e-05	3.87532e-05	4.97925e-05	3.86881e-05	0.000444161	1.21487e-05	0.000832454	3.15195e-06	0.0056632	3.04314e-05	1.07259e-05	0	0.00145563	9.66737e-06	0	0	0	0	0.0014486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.65728e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_12	0.000294372	0.00127965	8.40451e-05	2.95264e-05	0.000484908	0.00176857	2.74377e-05	1.85578e-05	4.36489e-05	0.00723409	8.85225e-05	6.45812e-05	2.53507e-05	3.94367e-06	4.51948e-05	3.22664e-06	2.24264e-05	4.39638e-06	2.11064e-05	2.21226e-05	0	0	1.43406e-06	0	0	7.60832e-06	0	0	0	0	6.62103e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_13	0.00269027	0.000821666	4.31909e-05	4.51757e-05	1.61332e-05	1.1831e-05	3.15992e-05	8.43254e-05	7.55841e-05	3.68136e-05	1.00384e-05	1.63119e-05	9.36247e-06	7.17032e-06	2.86122e-05	0	0.000471513	0.000849022	5.94138e-05	0.00034195	1.17952e-06	0	0	0	0	2.15109e-06	0	0.000282573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
