	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94	d0_95	d0_96	d0_97	d0_98	d0_99	d0_100	d0_101
d2_0	0	0.129386	0.0285056	0.0109198	0.0124478	0.00427958	0.00327361	0.0073413	0.0030065	0.00307763	0.00195543	0.00085352	0.0022454	0.00639377	0.00574329	0.00598601	0.000878897	0.00508008	0.000197902	0.000844826	0.0022255	0.000515983	0.00114808	0.000126114	0.00531762	7.94518e-05	0.00569391	0.000995113	0.00519054	0.00013287	6.07467e-05	0.00069169	0.00513438	7.23637e-05	2.38676e-05	2.39021e-05	5.67413e-06	0.00479332	1.04765e-05	0	2.46468e-05	7.82909e-07	0.00069974	0.000655934	0.00480892	1.0773e-05	1.99064e-07	1.04524e-06	0	0	0	0	0	0	0	0	0	0	0	1.1787e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0677836	1.89846e-05	0.00516768	0.000186163	1.40848e-05	8.97677e-05	4.37604e-05	0.00196805	1.92005e-05	7.76055e-06	3.46612e-05	0.000590813	0.00102277	1.76961e-05	0.000580315	0	4.02836e-07	2.19208e-06	0.000682224	0	0.00165452	3.09213e-08	0	1.42771e-06	6.39655e-08	0.00163878	2.73727e-05	1.74476e-05	0.000213765	9.43953e-06	1.11172e-06	0	0	0	0	1.55106e-05	1.77174e-05	3.17873e-05	0	0	0	0.000218676	0.000963404	9.15192e-06	0	0	0	0.000970197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0234311	3.25926e-05	6.62502e-05	4.3483e-05	0.000385831	2.97987e-05	1.74568e-06	2.03825e-05	3.368e-05	3.14595e-05	0.000694129	5.73081e-06	0.00129541	0	0.00152094	1.0527e-05	3.65548e-06	9.93004e-06	0.00132387	0.000219098	2.29858e-05	1.36395e-05	1.52524e-05	0	1.92075e-07	0.00499709	0.00130208	0	2.70888e-06	1.40449e-05	0	0	0	0.000334736	0	4.62597e-06	0	0	0	0	0.000643832	0.000637626	0	0	0	1.68355e-06	0	0	0	0	0	2.08755e-05	0	0	0	0	0	0	0.000637626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0137847	0.000252916	1.43471e-05	1.26724e-05	4.75481e-05	8.94365e-06	6.47978e-06	2.57963e-05	3.83834e-05	0	4.88156e-06	1.05922e-05	1.9572e-05	5.01526e-06	2.2704e-05	1.77374e-05	3.68913e-06	2.37237e-05	0.00447797	0	1.1837e-05	0	2.96194e-06	0	0	0	1.53367e-06	8.97007e-06	1.1029e-05	0	4.14292e-06	0	0	0.000363792	0.00447406	0.00447322	0	0	0	0	0	0	0.000977629	0	0	1.32835e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000967732	0	0	0	0	0.000639385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.00743028	3.33911e-05	1.46817e-05	5.98077e-06	2.33254e-05	7.01456e-06	0.00502939	1.38521e-05	1.19891e-05	0.00481225	0.00484781	0	0.00118162	1.83817e-05	0	0	1.49728e-06	0	0	0	0.00116358	0	1.65338e-06	0	2.09848e-05	0.000318813	0.00160369	5.73325e-06	1.07588e-06	0.000658856	5.92717e-06	5.05016e-06	0	0	0	4.06926e-06	0	0	0	0.00446338	0	2.14358e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000637626	0.00478219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.00556118	0.000363644	6.06778e-06	5.92569e-06	3.24142e-06	9.36718e-06	1.37491e-05	1.50154e-05	2.19523e-05	8.41035e-06	1.73326e-06	0.000353378	3.21544e-06	0.000643081	5.41762e-06	3.01733e-06	0	1.2127e-05	0.000989793	3.23547e-05	2.68349e-05	0	0	2.337e-06	0	0	0	1.17214e-05	0	0	0	3.29838e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.15883e-05	0	0	5.54746e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00370777	2.62253e-05	7.07079e-06	0.00116049	2.37707e-05	0	2.47234e-05	0	2.64941e-05	0	2.56372e-06	1.21476e-05	3.33157e-07	6.08781e-07	3.97397e-06	0.000564183	0	0	4.86033e-05	0.00448429	0	0	0	0	0	2.84854e-05	0.00115959	0.000372942	0	8.50307e-06	0	0	0	9.78508e-07	0	0	0	0.00118355	0	0	0	0	0	0.000986333	0	0	0	1.16625e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00446338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.0022176	2.48397e-05	1.75854e-05	4.02631e-05	1.78528e-05	0.000990343	6.19618e-05	0	2.58518e-06	7.16608e-07	0.00100788	7.39869e-06	9.04649e-06	1.14822e-05	6.11816e-07	5.4532e-07	2.51861e-06	0	0	0	0.000251668	2.99483e-05	0	2.86171e-05	0.00481446	3.76085e-07	0	2.41849e-06	0	0	0.000231967	0	0.000337684	8.40992e-06	0.000637626	0	0	0	0	0	0	0.00480112	0	0	0	0	0.00034301	0	0	0.00446338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.00677877	8.98572e-06	5.74163e-07	4.21216e-06	0.000505456	5.35141e-06	2.69233e-06	1.29053e-05	9.08526e-06	0	0	6.21844e-06	7.73805e-06	0	8.00935e-06	0.000572241	4.40473e-06	5.74381e-06	0.000990257	0	0	0	0	3.99786e-06	1.153e-07	0	0.000191288	0	0	0.000663887	0	0	0	0	0	0	0	0	0	5.42319e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.00169186	3.30593e-05	0	1.92993e-06	1.16918e-05	5.5405e-06	1.92676e-05	2.03104e-06	3.48932e-05	2.64511e-05	0.00134406	2.0979e-06	1.69979e-06	0.000758343	2.73107e-05	0	0	0	3.81183e-06	0	0	0.00471453	9.74504e-07	0	1.06543e-05	2.69087e-06	0	0	0	6.0318e-06	0	0	0	0	0	0	1.69572e-05	1.22374e-05	0	0	0	0	0	0	3.64758e-06	0	0	0.000977942	0	0	0.000637626	0	0.00052355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_10	0.00104492	1.88722e-05	0.00053417	0.000341392	1.06359e-05	0.000994128	0	9.63963e-07	0.000900852	0.0094962	0.00100663	8.63969e-06	0	1.19653e-05	0.00500634	0.000232157	0.000374018	0	5.36639e-06	2.613e-06	1.86812e-05	0.000971518	0	3.38586e-05	1.08541e-05	0.000956439	4.49353e-06	0.000637626	0.00481236	4.3006e-05	0.000227842	0	8.58931e-06	7.01895e-06	0.000637626	0	0	0	9.11126e-06	0	0	0	0	0	0.000318813	0	0	0	0	8.68015e-06	0	0	1.16329e-05	2.97048e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56818e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_11	0.000887582	5.09246e-06	0.00118108	2.43391e-05	4.81025e-06	7.26633e-06	4.34251e-06	4.34177e-05	0.000363634	0	0.000638211	0.000550066	2.12289e-06	2.80468e-06	0.00098181	1.03414e-05	6.9662e-07	0	5.05019e-06	0	1.54451e-05	0	1.45652e-05	0	0.000344962	4.72574e-06	0.00134468	1.31027e-05	2.3667e-05	0.000216543	0.000318813	0.000971394	5.60989e-06	6.14152e-06	0.000968391	0.000659799	1.51127e-05	1.24463e-05	6.56257e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66229e-06	0	0	0	0	0.000664894	0	0.00447037	0	0	0	0	0	0	0	1.45467e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_12	0.00053777	0.000960018	1.6762e-05	1.23632e-06	2.22002e-05	3.91878e-06	0.00100811	0.00119163	3.82721e-06	2.689e-05	0	0	9.54491e-07	4.11813e-06	0	0	0	1.72075e-06	1.79576e-05	0	0	3.06337e-06	1.44414e-05	0	6.12629e-06	0	2.54221e-05	0	0	0.000637626	0	0	0	0	0	3.30915e-06	7.46382e-06	0	0.000221823	0	3.27462e-07	0	3.5845e-06	0	0	0	0	2.08161e-06	1.0923e-06	0	7.64177e-06	0	0	0.00033384	0	0	0	0	0	0	0	0	0	7.51482e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_13	0.000739927	2.0021e-05	1.9208e-05	0.000232865	9.4019e-06	3.86119e-05	1.46142e-06	2.15475e-05	0	0	2.96669e-06	0	0.000682236	1.78918e-05	4.82011e-06	0	0	4.11909e-06	1.7432e-05	0.000664619	0	0	0	0	0	1.24378e-05	0	0	0	8.92926e-06	0.00448423	0	0	0	0	0	0	0	0	0	0.000337995	0	0	0	0	0	0	0	2.39245e-06	0	0	0	0	0	5.57323e-06	0	0	0	0	0	2.41014e-06	0	0	0	0	0	0	0	0.00447278	0	0	0	0.00479337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_14	0.0016214	5.84e-06	5.71133e-05	1.60429e-05	1.27892e-05	2.10508e-05	0	1.01644e-06	1.04195e-06	5.48231e-05	0	0.00479296	0	0	0	3.66635e-06	1.51609e-06	0	0.000338752	2.81474e-05	0	0	1.49464e-05	0	0	2.48676e-06	5.78847e-06	3.73322e-07	7.56651e-06	1.13072e-05	0	0.000329114	8.66784e-07	0	0	3.7387e-06	0	4.20343e-07	0	0	0	0	1.48289e-06	7.62408e-06	0	0	0	1.42536e-05	0	0	0	0	0	0	0	0	0	0	0.000345251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_15	0.00150798	0	3.66998e-06	2.19692e-05	0	9.48288e-06	0.000233067	5.52379e-06	0.000956439	0.00481536	1.17026e-05	6.8756e-07	0	0.000657539	1.13656e-05	0	6.84884e-06	0	0	0	4.54505e-05	0	0	0	0.000203499	0.000541514	0	0	0	0	3.49906e-06	0	0	0.0011535	0.000318813	0	0.00499486	0	0	0	0	0	0	0	0	1.38273e-05	0	0	0	0	0	0.000318813	0	0.000637626	0.00480689	0	0	0	0.000637626	0	0	0	0	0	0	0	0	0	0	0	0	0	7.96373e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_16	0.000454638	7.66088e-06	0	4.3485e-05	4.05554e-06	1.29228e-05	0	8.65701e-06	0	7.47668e-06	0	0.000359182	0.000222401	0	1.02502e-05	0	9.61739e-06	9.63344e-06	0	3.9391e-06	0	0	0	0	0	0.000343264	0	8.24701e-06	0	0.00446699	0	0	0	0	0	0	0	8.26291e-06	0	0.000195939	0	0	0	0	0	2.48241e-07	0	0	0	0	0	0	0	0	0	0	1.30518e-05	0	0	0.000982698	0	0	0	0	0	0.00478464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_17	0.000166862	0	0.00117675	3.15391e-06	5.82346e-06	1.07112e-05	0	0	0	7.28982e-06	0	0	1.51773e-05	0.000652056	0	0.000533472	2.55643e-05	0	0	4.29692e-06	0.0010052	1.41161e-05	0	8.35418e-06	0	0	0	7.30145e-06	0	0	0	6.16049e-06	0	0	1.23945e-05	0	6.7129e-07	0	0	0	0	0	0	0	2.32664e-05	5.03092e-06	0	0	0.000524845	0	0	0.000965824	0	0	0	0	0	0	0.000637626	0	5.36299e-06	0	0	9.81619e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_18	0.0001883	5.34116e-06	3.03276e-06	3.73127e-06	4.51645e-06	0	8.54705e-06	2.06752e-05	3.46267e-06	3.37105e-06	6.03764e-06	1.74469e-05	0	1.91575e-05	3.17381e-05	3.07636e-06	0.000684891	0.000534781	1.76231e-05	2.89963e-06	7.73592e-06	3.79541e-05	0	0	0	0	0	0	1.12748e-05	0	1.34126e-05	0	0	0	9.25776e-06	0	0	0.000340295	0	0	7.35852e-06	0	0	0	0.000655543	0.00447808	0	0	0.000323932	0	0	0.000637626	0	0	0	0	0	0	0	2.63573e-06	0	0	0	0	0	0	0	0.000345288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
