	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_0	0	0.0844757	0.018834	0.00618635	0.00230513	0.00117893	0.000709968	0.000378068	0.000230194	0.000114721	0.000921605	9.35045e-05	3.07762e-05	5.5328e-06	0	0	2.65481e-05	3.13024e-07	0	2.0748e-06	0	0	2.0748e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0800517	0.00280937	0.00303962	0.00045796	0.0077521	0.00170875	0.00170316	0.00016361	0.00209059	7.84528e-05	0.00114362	0.000856737	2.00564e-05	9.68239e-06	3.60329e-05	3.8038e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0339143	0.00313947	0.000450726	0.00175868	0.0023955	0.0026821	0.000495521	7.29637e-05	0.000108136	5.17443e-05	2.93566e-05	0.000318309	0.00042926	6.91599e-07	1.3832e-06	1.75812e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0144536	0.00591742	0.000603474	0.0077717	0.000853532	0.000193955	0.000128999	9.11166e-05	0.000391974	9.30321e-05	1.82042e-05	0.000857476	0.00542973	3.38093e-06	1.01214e-05	0.000397472	0	8.16446e-06	3.73445e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.0106345	0.000455037	0.0123123	0.0143515	0.000180611	7.11901e-05	6.93289e-05	0.000120421	0.00586719	2.53783e-05	5.57434e-05	2.71023e-05	4.1496e-06	1.76501e-05	6.91599e-07	1.47418e-05	2.4206e-06	0.000440211	0	0	0	0	0	0.000386752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.00379281	0.000421609	0.00255977	0.000183108	0.00133279	0.000188989	0.000124425	6.0884e-05	8.69264e-05	6.96739e-05	0.000403843	5.83674e-05	0	4.1496e-06	7.75471e-05	1.00339e-05	4.06355e-05	0	0.000436061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00347456	0.0017493	0.000235172	0.00565158	0.00558916	0.000154148	0.00275694	0.000771174	7.10082e-05	7.06272e-05	0.000730756	0.000434273	3.38885e-05	8.79939e-06	1.30889e-05	2.7664e-06	0.000443035	6.91599e-07	1.16753e-05	0	3.11005e-06	0	4.4954e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.000884952	0.00598674	0.000580375	0.000119641	0.00599013	0.000171847	0.00329718	0.000102294	0.000919143	3.64619e-05	4.42488e-05	2.71809e-05	3.90689e-05	1.0374e-05	0.000298933	0.00583906	8.46479e-06	1.56934e-05	2.83944e-05	0	1.729e-06	0	0	1.14783e-06	0	0	0.00029758	2.832e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.000676102	0.00034979	0.000357972	0.00597276	7.77708e-05	9.63565e-05	0.00128881	5.92477e-05	0.00213434	4.80896e-05	4.82879e-05	2.69589e-05	0.000685875	0	3.16881e-06	9.64101e-06	1.34124e-05	0	0	0	0	0	6.91599e-07	2.2047e-05	0	1.729e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.000281982	0.000128838	7.31968e-05	0.00554195	7.27586e-05	0.000170115	0.00128022	0.00135862	0.000534929	0.000451719	5.5328e-06	0.00323319	1.45534e-05	9.33659e-06	2.43724e-05	0	6.91599e-07	0	0	0	3.39682e-06	2.0748e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
