	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_12	0.000151642	0.000772455	6.32562e-05	7.13053e-05	1.73974e-05	5.25006e-05	7.61795e-05	5.66821e-05	2.87267e-05	1.34105e-05	3.05335e-05	1.6655e-05	2.73603e-05	0	6.5617e-05	2.61046e-05	0.00613166	0	2.98449e-05	0	0	0	0	0	2.36629e-05	0	2.17467e-06	2.73255e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_13	0.00130649	0.000822336	0.00036476	4.66903e-05	4.88201e-05	0.000379925	6.36831e-05	3.80857e-05	0.00618921	0.000104597	0.0114199	5.07424e-06	4.64508e-05	4.17691e-05	2.81871e-05	5.19264e-05	2.27872e-05	6.16157e-06	3.13426e-06	0.00653341	1.01485e-05	0.00150629	0	1.07741e-05	1.53893e-05	0	0.00610872	0	0	0	2.65926e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_14	0.00017006	7.73582e-05	1.5374e-05	8.63668e-05	2.83872e-05	3.62446e-06	0.000766189	0.000691132	2.06593e-05	0.00576063	0.00695033	7.36839e-05	3.1965e-05	0.00154486	5.3515e-06	0	0.000240962	3.77019e-05	4.34935e-06	0	5.3931e-06	1.75433e-05	1.02973e-05	1.74213e-05	0	0	0	0	0	5.40746e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_15	3.50593e-05	9.30802e-05	0.00153198	3.15681e-05	0.00655896	0.00575359	0.00229751	6.81204e-06	3.0633e-05	0.00029317	2.49101e-05	0.000420583	1.21244e-05	5.43668e-06	1.02772e-05	0	0	0	0.00572465	1.63188e-05	0.000447165	1.83592e-05	2.94887e-06	0.000678693	0.00202869	8.35253e-06	0.000889448	0	0	2.77391e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_16	1.64487e-05	3.6089e-05	3.98156e-05	7.63245e-05	2.74196e-05	0.00619886	9.29154e-05	2.62859e-05	0.000151613	0.000894752	1.53315e-05	3.05377e-05	7.272e-05	2.43784e-05	0.000870436	5.02971e-06	4.55077e-06	2.53245e-05	2.8211e-05	8.35939e-06	0	0	0	0	0	0	2.87321e-05	0.00488401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_17	1.10169e-05	2.63401e-05	7.61136e-06	0.000457477	1.76268e-05	1.7997e-05	2.01994e-05	2.61373e-05	0.00786748	0.000717398	7.24891e-07	0.000311039	3.26201e-06	0.000318925	0.00720607	0.000453234	0	0	7.24891e-07	0	7.69322e-05	0.000447845	1.85543e-06	0.00122659	0	1.19725e-05	0.000839488	0.00349944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_18	2.97205e-05	1.33858e-05	7.61136e-06	4.34935e-06	2.71094e-05	8.54121e-06	0.00718516	0	6.16157e-06	7.59477e-06	4.61454e-05	4.50219e-05	0.000192411	0.00656301	2.09442e-05	2.24469e-05	0.0015277	4.8817e-05	9.05231e-06	2.82463e-05	2.87323e-06	2.40823e-05	3.69572e-05	0.00124898	0	0	7.24891e-07	0	0	0	0	0	0	0.006337	0	0.000822401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_19	9.42358e-06	0.0013136	2.42329e-05	0.000509785	0	3.17188e-05	0.00127122	1.76606e-05	2.36807e-05	3.66681e-05	1.87682e-05	0	4.81197e-05	3.48729e-05	0.000666179	0.00638512	1.89321e-05	1.82864e-05	7.88056e-06	0.00692524	0.0069341	0.00653901	0	0.000660327	0	8.14554e-06	0	9.74848e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_20	3.42192e-06	1.84847e-05	2.89956e-06	1.15983e-05	7.06163e-06	4.05507e-05	0	1.44978e-05	3.986e-05	7.99634e-06	0.00206251	2.89956e-06	5.22012e-05	0.00568503	0.000831596	2.74589e-06	0	1.48872e-05	2.84717e-05	0	2.5986e-06	0.00574636	0	8.695e-06	0	3.75788e-06	0	0.00811464	0	0	0	0	0	0.000428091	0.00570908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_21	0	0	1.44978e-06	7.61136e-06	3.5735e-06	0.000459486	2.10221e-05	0.000670685	1.14789e-05	4.5648e-06	4.71179e-06	0.000697109	0	0.00126819	2.51386e-05	2.9465e-05	0.0065238	0	0	2.25239e-05	0.000696706	0.000853234	0	0.000830215	6.63889e-05	0	0.00610063	0	0	0	0	0	0	0.000679821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
