	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94	d0_95	d0_96	d0_97	d0_98	d0_99	d0_100	d0_101
d1_0	0	0.131363	0.0346323	0.0257281	0.00636595	0.0101458	0.00803334	0.00951255	0.00384222	0.00213995	0.00803144	0.00640089	0.00275946	0.0015691	0.00321158	0.00159632	0.00301589	0.00158974	0.0064115	0.00194728	0.0013494	0.00525227	0.000370954	0.00465979	0.000127268	0.00566322	0.00106795	0.000738194	8.96305e-05	0.000895692	0.000690216	0.00522755	0.0002852	3.20233e-05	0.000709894	2.33571e-05	0.00517482	8.92003e-06	0.000686383	0.000376701	2.29703e-05	0.000703951	1.96429e-05	0	0.000692986	0.00858029	0.00121721	0.000668568	0.000553034	0	0	0	0.000329323	0	0	0	0	0	0	0	2.05374e-05	0	0	0	0	1.9205e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_1	0.0768939	5.81191e-05	3.00623e-05	5.83179e-05	3.17231e-05	3.24418e-05	1.61819e-05	4.35173e-05	7.4047e-06	1.53133e-05	0.00124227	4.13458e-05	0.00103176	1.39146e-06	9.79797e-08	3.5851e-06	9.47025e-06	0.000368721	0.000672992	0.000556823	3.06054e-05	4.33442e-06	2.74723e-05	0	0	2.11336e-05	1.56601e-05	6.41847e-06	0	0	8.25562e-06	8.01919e-06	0	1.04341e-06	2.08525e-06	0.000550628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000658608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_2	0.0194968	8.67477e-06	3.70164e-05	5.10799e-05	1.42052e-05	2.84847e-07	3.35196e-05	0.00128004	1.34874e-05	1.6351e-05	0	0.004894	2.47518e-05	1.28106e-05	0.0012352	4.19184e-06	1.77755e-05	1.1494e-05	0	2.66538e-05	3.0409e-05	6.34624e-07	0	5.53107e-06	0.000541863	2.22065e-05	2.76676e-06	0	1.16978e-05	0.000538781	1.21775e-05	0	6.11823e-06	0	1.25317e-05	0	0	0	0	0	0	0	0	1.80594e-05	0.00100041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_3	0.00880278	5.53678e-06	1.82478e-05	1.85241e-05	2.83447e-05	0.000381029	5.18579e-05	3.41112e-05	1.1452e-05	5.07216e-06	1.35556e-06	0.00103199	7.50966e-06	0.00211232	1.69896e-05	1.03291e-05	0	2.3108e-05	0.000329352	0.000228022	2.26196e-05	1.37175e-06	0.000347341	4.18172e-06	1.04139e-05	3.30326e-05	7.83727e-06	2.29723e-05	0	3.8985e-07	4.63647e-06	0	0	0	0	0.000354175	3.49869e-06	3.02745e-06	0	0	4.58955e-06	0.00495481	0.000530944	0	2.56065e-05	0	0	9.80711e-06	0	0	0	0	0	2.00327e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_4	0.0101314	4.44359e-05	4.33812e-05	4.20742e-06	0.000264183	3.30063e-05	0.0010315	9.92576e-05	2.67799e-07	9.27456e-06	9.43989e-06	0	0.00100867	5.20249e-07	3.39475e-07	0.000921395	0.00055463	4.40566e-05	0.000598005	1.05957e-06	1.14551e-05	0.00499309	0.000344086	0.00101796	3.34159e-05	0.00461026	1.23076e-05	0	0	3.10322e-08	0	4.99738e-07	0	0	1.35565e-05	0	0	0	0	1.55024e-05	0	0	1.9198e-06	0	0	0	0.00461026	0.000682113	0	0	2.21282e-06	0	0	0	1.35853e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_5	0.00296537	1.91143e-05	1.4519e-05	2.54772e-05	4.76172e-05	0.000698567	0.00554599	2.18079e-05	2.62757e-05	2.3735e-05	0.000734791	1.76168e-06	1.5411e-05	2.95275e-05	0.00471011	0	0	0.000342339	3.18332e-06	0.000226945	0.000339524	0.00102478	1.07905e-05	1.5828e-06	0.00067728	3.04565e-05	5.85365e-07	1.24353e-06	0	0.00461026	0	5.15682e-06	0	0.00461936	0	2.64965e-06	0	0.00462515	0	0	0	9.45685e-06	0	0	0	0	0.000668148	0	0.000178539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_6	0.00452096	0.00120871	5.406e-05	8.9769e-06	1.85799e-05	8.09056e-07	0.000270115	8.68126e-06	2.66442e-05	8.27483e-05	4.45998e-05	0.000573688	8.25604e-06	4.44068e-06	7.55765e-06	0.000602756	2.37566e-05	0.00461132	0.00464894	0	1.56257e-06	0	0	0	1.12855e-05	0.00022525	8.04306e-06	1.68413e-05	1.74862e-05	0	2.70886e-06	0	0	0.000679623	0	0	0	0	0.000359841	0	0	0	0	7.36471e-06	0	0	0	0	0	0	0	0	0.0012081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00100396	7.86754e-07	0	0	0	0	0	0	0.00100433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_7	0.002123	1.14083e-06	4.95822e-06	4.31873e-06	2.29638e-05	3.40869e-05	1.59278e-05	1.00055e-05	1.72105e-05	0	6.90881e-06	9.6909e-06	0.00496318	7.37225e-07	4.08049e-06	7.73747e-06	2.21928e-05	0	1.06955e-05	1.13179e-06	7.00881e-06	8.93892e-06	0.000561619	0	0	1.33823e-05	0	0	2.52149e-05	7.1689e-06	5.08625e-06	0	0	0	0	5.85011e-06	0.000329304	2.24447e-06	3.4038e-06	0	0	0.00100225	0	0	0.00021082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_8	0.00194563	3.61793e-05	1.01281e-05	2.3306e-05	0	2.72032e-06	0.000238691	1.16496e-05	2.85811e-06	2.37188e-05	6.0613e-06	0.00498743	3.21245e-05	0	4.88858e-06	9.71797e-06	2.221e-05	0.00493956	0.00517407	0	0.000366121	0.000686933	0.00120692	0.00496024	4.79382e-06	0	1.41108e-06	0	0.000688098	5.16456e-06	1.55732e-05	0.000685603	0.000332867	8.8351e-06	1.27078e-06	5.26751e-06	1.1885e-06	2.81202e-05	1.01387e-05	6.55026e-06	7.27568e-07	0	0	1.68263e-05	0	0	2.14439e-05	0	0	0	0	0	1.50328e-05	0	0	0	0	0	0	0	0	0.00461779	1.86266e-06	0.000658608	0	0	0	0	0	0	0	0	5.91999e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_9	0.00191235	0.00127128	6.95324e-06	1.42605e-05	2.72463e-05	0	2.68304e-05	2.35572e-07	0.000260776	9.52444e-06	1.97687e-05	3.75621e-05	7.33836e-07	1.56361e-05	0	0.00464321	8.88145e-06	2.61052e-05	7.65991e-06	0	0.000239088	0	0	0	7.94404e-06	0.000666274	2.62911e-06	0.000228931	0.0046209	0.00120953	2.41435e-06	0	0.000354084	0.00396724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000658608	0	0.000673634	0	0	0.000662156	0	1.4574e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_10	0.0107224	0.0102979	2.15078e-05	3.04326e-05	1.54402e-05	2.23174e-05	0.00068932	7.21824e-07	4.04367e-06	5.69963e-06	0.00463182	4.9895e-06	2.07759e-05	1.63315e-06	0.00461053	0.00101143	3.84657e-06	9.22094e-06	1.48359e-05	0	1.64333e-06	2.87132e-05	1.98016e-05	0	0	0.00484677	0.000658608	7.44947e-07	0.000676498	0	0	0	0.000660262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00396176	0	0	0	0	0	0	0.000658608	0	0	0	0	0.000658608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000346833	0	0.000658608	0	0	0	0	0	0.00461026	0.000338874	0	0	0	0	0	0	0	0	0	0	0
d1_11	0.00129828	2.24264e-05	2.77523e-05	2.27282e-05	0	1.14569e-05	0.000329304	6.19132e-07	7.96451e-06	1.24541e-05	3.55322e-05	0.000665978	0	5.93594e-07	0.00515094	7.04768e-06	0	0	3.43535e-06	1.42564e-06	0	2.88479e-05	9.41324e-06	4.35007e-07	0	0.00494817	0.00497386	9.54984e-07	0	0.000334723	1.10127e-05	0.000664226	0	4.45373e-07	0	0	0	0.00123118	0	0.000658608	0	0	0	1.35005e-05	0	2.39434e-05	0	0	0	0	0	0.000354558	0	0.000335226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_12	0.000332338	5.82686e-05	0.000553792	2.939e-05	1.52546e-05	5.28922e-06	1.26981e-05	0.00399719	0	0	3.3285e-05	0	0	0	8.25657e-06	0	2.53648e-06	0	1.46005e-05	0	1.02535e-05	0.00398148	0.00036709	0	0	1.78803e-05	0.000658608	0	3.98753e-05	0	9.30839e-06	0	0	0	0	1.41888e-07	0	0.00474725	0	0	0	0	9.99616e-06	0	0.000537039	0	0	0	0	0	0	2.06127e-06	0	0.000668031	0	4.15317e-06	0	0	0	0	0	0	0.000987912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33022e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
