	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_0	0	0.088855	0.0334661	0.0103558	0.00378774	0.00175003	0.00217588	0.00179459	0.000518167	0.00105688	0.000122963	9.16944e-05	3.76289e-05	5.54328e-05	2.28276e-05	0	6.20566e-06	6.93574e-06	1.82519e-06	0	6.20566e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.061316	0.00138283	0.00571451	0.000334745	0.000294851	0.00023006	0.00014883	0.000179866	3.74794e-05	0.000104022	0.00643529	5.73434e-05	1.3461e-05	3.59054e-05	3.06957e-05	0	6.93574e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0233119	0.000516204	0.000279535	0.00102501	0.00754166	0.00029376	0.000943608	0.000104706	0.00587113	5.06179e-05	3.52343e-05	6.39055e-05	2.17604e-05	3.4007e-05	0	0.0012889	0.00018074	3.86651e-05	9.85709e-06	5.35467e-06	0	0	0	0	2.51985e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0123383	0.00125924	0.000946277	0.00229306	0.000213332	0.000174314	0.000432546	0.000229716	0.000748435	0.00135247	9.57314e-05	0.000314081	5.56581e-05	3.81534e-05	8.41455e-06	0	0	0.000846024	0	0	0	0	0	0.000282653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.00697676	0.00760839	0.00118931	0.00069723	0.000193255	0.000138323	0.00130797	5.16962e-05	1.21949e-05	0.00632404	1.9256e-05	2.14071e-05	2.41435e-06	1.09092e-05	0	1.49666e-05	1.46103e-05	0	7.30078e-07	0	0	0	0	0	0	7.85757e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.004041	0.000214966	0.000907896	0.000285021	0.000102158	0.00103468	9.17208e-05	2.07404e-05	8.95668e-05	8.98718e-05	0.00659335	3.11104e-05	9.18982e-05	0.00769519	8.76093e-06	3.2448e-05	4.65299e-05	0	2.45565e-06	1.98988e-07	1.504e-06	0	0	9.33332e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00917721	0.000610101	0.000192737	0.000333627	0.000625659	8.52981e-05	0.000252454	4.35946e-05	7.64671e-05	0.00701975	0.00130034	4.01543e-06	0.00645457	0	3.75451e-05	5.08922e-05	0	1.45099e-05	0.000841451	0	0	0	0	1.37429e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00898705	0.000216622	0.000255554	6.50535e-05	5.10697e-05	0.000124935	0.00174745	0.00050738	2.70458e-05	1.8982e-05	0.000186481	1.46016e-06	4.8988e-05	2.90276e-05	0.00619013	4.39524e-05	1.86422e-05	0	0	6.17661e-06	1.01462e-05	0.00149923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.00100043	0.00016462	0.000187811	0.000107865	0.00636585	4.46371e-05	7.44611e-05	0.00134858	4.41935e-05	0.000122954	0.000104011	5.20482e-05	1.13032e-05	1.3601e-05	0.000885256	2.92031e-06	2.19023e-06	0	2.19023e-06	0.000410525	1.01024e-05	0	0.00614166	5.13492e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.00838075	0.00191402	0.00656425	0.00180048	0.000686449	0.00622418	0.00152591	1.8982e-05	1.09512e-05	2.58442e-05	3.02364e-05	4.82209e-05	0.00492349	5.78091e-05	0	2.23555e-05	1.05223e-05	0.00150054	1.6057e-05	4.13522e-05	4.88957e-05	0	0	2.96683e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_10	0.00128234	9.32679e-05	0.000106452	4.35832e-05	0.000344896	3.62196e-05	7.10024e-05	4.25494e-05	0.00138193	0.00498792	5.51031e-05	7.30078e-07	8.39589e-06	6.45052e-05	4.08276e-05	0.000427621	2.06786e-05	0.000431855	0.00045849	0	1.38715e-05	4.14041e-06	0	0	0	1.03364e-05	0	0	0	0	2.72298e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_11	0.000384758	9.50442e-05	5.8663e-05	0.000586213	6.07345e-05	7.70534e-05	0.00574679	0.00404886	0.00501026	8.38148e-06	5.51637e-05	0.000853074	4.38047e-06	0.00725681	0	0.00082634	0.000411615	0	1.46016e-06	0	0	0	0	3.73428e-05	0	0	0	0	0	0.00042788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_12	0.000216838	0.000326622	5.86223e-05	5.08436e-05	0.000918939	0.00728706	9.00287e-05	3.74494e-05	4.37767e-05	0.000472664	9.49101e-06	2.51227e-05	0.000864204	0.00273371	8.91484e-06	1.58046e-05	3.5311e-05	2.19023e-06	3.29463e-05	0	4.54455e-06	1.38536e-05	2.27103e-05	0	1.827e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
