	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_0	0	0.084195	0.033286	0.00730543	0.0041711	0.00392215	0.00869198	0.000513514	0.000443618	0.000943073	3.95289e-05	1.32037e-05	7.95524e-05	1.97712e-05	6.04504e-05	2.36437e-05	1.10323e-05	5.57287e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.064739	0.00111922	0.000423642	0.000399118	0.000236077	0.000138711	0.000827298	0.000102245	5.02593e-05	2.68748e-05	3.34147e-05	4.28133e-05	3.49705e-05	5.7274e-05	0.00025279	0	2.47683e-05	6.28241e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0233705	0.00223627	0.000302401	0.000247302	0.000902869	0.000227842	0.000160388	9.99738e-05	0.000762583	2.07745e-05	0.000667428	6.42534e-05	0.00752428	1.3736e-05	1.69519e-05	0	0	0	0	5.93339e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0126301	0.000380186	0.000299213	0.00104573	0.00166342	0.000130063	0.00723151	7.40845e-05	0.00596305	0.00879039	4.4111e-05	2.14826e-06	0.000260206	8.37655e-06	9.92203e-06	0.00591635	1.01217e-05	0	1.75844e-05	0	4.18827e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.00593066	0.000376128	0.000302937	0.00884833	0.00173625	0.000515077	5.33621e-05	0.00171871	0.00721362	0.000271622	4.53875e-05	0.000118644	8.83919e-05	2.93265e-05	8.02752e-06	1.74511e-06	1.78697e-05	0	0	3.49023e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.00505962	0.000324015	0.000292793	0.00141812	0.00011569	7.18223e-05	0.000563967	0.00174872	0.000741593	3.34072e-05	0.000272601	2.54582e-05	5.23534e-06	0.000451134	2.89083e-05	2.07349e-05	2.56121e-05	1.39773e-05	2.76733e-05	7.02826e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00700904	0.00017907	0.00729343	0.00630311	0.000182422	0.000321916	9.25671e-05	0.00166989	4.65554e-05	5.35136e-05	5.56684e-05	3.49023e-06	1.74485e-05	2.54169e-05	3.19651e-05	2.79218e-06	1.60265e-05	0	0	5.64119e-05	0	0	1.53987e-05	0	0	0.0068995	0	0	0	0	0	9.02967e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00143719	0.00226628	0.00137207	0.000983997	0.00158974	0.000129812	7.96048e-05	7.91365e-05	9.15153e-05	7.39674e-05	5.38754e-05	0.00126239	0.000111306	3.48407e-05	0.00070209	0.00653951	1.39609e-06	1.8521e-05	0.000427473	0.00160799	0	0	0	6.10681e-06	1.65027e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.00105294	0.000118489	0.0117869	0.00178245	0.000927456	1.82682e-05	8.88733e-05	9.92687e-05	0.0119362	7.32948e-06	1.2485e-05	0.00147344	1.04707e-05	0.000833986	6.02615e-06	2.79218e-06	0.00121642	2.79218e-06	0	2.64242e-05	2.2295e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.000651885	0.000641199	0.00101531	8.16504e-05	0.00145204	0.000506211	7.28624e-05	2.97871e-05	0.000447286	8.36691e-06	5.38778e-05	0.000506648	1.32629e-05	0.000233096	0.000432609	0.00595548	0.000407607	0	0	0	3.96343e-06	0	0	9.82e-06	0	1.9793e-06	0	0.000410397	0	0	0	0	0	0	0	1.37231e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
