	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94	d0_95	d0_96	d0_97	d0_98	d0_99	d0_100	d0_101
d1_0	0	0.138336	0.0331985	0.0165645	0.0153953	0.00895418	0.00265422	0.00660373	0.010235	0.00169472	0.00154109	0.00187702	0.00619067	0.0027668	0.00139233	0.00217761	0.00137023	0.00127602	0.00124718	0.000271128	0.00115126	0.000661905	0.0106614	7.24937e-05	0.000542477	0.00143721	5.78945e-05	0.00027079	0.000249769	4.6371e-05	8.37494e-05	0.000236573	2.56327e-05	0.000246073	1.70927e-05	0.00231485	4.2697e-05	4.57592e-05	0.000675014	0	0	0.000153327	0.00121777	0.000675797	5.37739e-06	0.000977029	4.18554e-06	0	0.00536541	0	7.71914e-06	0	0	0	0	0.000192337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000320562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_1	0.0716865	0.00134326	3.89257e-05	0.00037863	1.77401e-05	1.71633e-05	2.08076e-05	5.45323e-05	1.90896e-05	1.49696e-05	0.000676377	2.42268e-05	3.02979e-06	1.53792e-05	0	1.39342e-05	0	9.77205e-06	3.11222e-05	0.000368403	0	0	1.87687e-05	2.90152e-06	0	0.000698178	1.08463e-05	1.29585e-05	1.76792e-05	1.74626e-05	0	0	0	0	7.60463e-06	0	0	3.25488e-06	0	0	0	0	0	0.000348696	2.35735e-05	0	0	1.06223e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_2	0.0393125	5.15756e-05	1.83623e-05	1.24279e-05	3.58341e-05	1.60327e-05	2.34796e-05	0.000543017	4.13106e-05	7.96059e-06	1.7815e-05	7.95588e-06	4.44279e-06	0	0	0.00485745	1.43954e-05	0	1.27159e-06	1.18782e-05	0	1.63592e-05	1.48012e-05	1.6879e-05	0	2.6979e-06	0.000213575	0	4.47984e-06	0	0	0	0.0005129	0	0	6.10591e-06	0	0	0	0.00119025	0	0.00453573	0	0	0	0	0	2.83547e-06	0	0	0	0	0	0	0	0	0	0	0	0	0.000974647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_3	0.0088652	0.000684488	4.82079e-05	0.000981175	0.000992581	7.99304e-06	0.00165613	0.00519618	8.97845e-06	9.38905e-06	3.59376e-06	3.09287e-05	8.71296e-07	7.45418e-05	0.00567085	1.40143e-06	9.85731e-06	1.39135e-05	1.25545e-05	0	1.48617e-05	1.63e-05	6.90497e-06	0	2.36386e-05	0	3.81003e-06	6.95866e-07	3.95442e-05	0	8.40434e-07	0	0	0	0	3.44107e-06	0	0	0	2.32489e-06	2.71554e-06	0	0	0	0	0	0	0	0	0	0.000339629	0	0	0	0	0.0011784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000661956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_4	0.00487013	7.77178e-06	2.4513e-05	0.00067582	1.70074e-05	1.18918e-05	0.000185657	0.0011759	0	0.000351278	1.13896e-05	0.000353816	0.00118907	0.000365362	9.62153e-07	0.00452294	3.06842e-06	4.20202e-05	5.37458e-06	2.41063e-06	3.16666e-05	2.92552e-05	4.89823e-05	6.98214e-06	0.00103339	9.11572e-06	1.91356e-05	0	0.00119931	0	0.000677309	0.000971779	0	0	0	3.00344e-05	5.10931e-06	0	0	0.000645653	0	0	2.74498e-06	0	0	0	0	3.55355e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00450398	0	0	0	0	0	6.29293e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_5	0.00543355	6.01596e-05	0.00020407	2.98974e-05	0.000654119	1.1168e-05	5.02362e-05	0.0010096	7.91031e-06	0.000740927	8.26348e-06	0.0010343	0.00537067	6.58411e-06	0	0.00032732	0.00118201	1.29544e-05	9.27913e-06	1.62103e-05	0	0.00022723	0.000547099	0	2.26556e-06	0	2.92341e-05	0.000321361	7.78139e-06	0.000320562	1.60066e-06	0	0	0.000352564	0	3.55916e-06	0	0	0	0	0	0	2.40349e-06	0.000203384	1.22757e-05	0	7.69154e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.90539e-06	0	0	0	0	0	0	0	0	0	0	0	0	0.00450027	0
d1_6	0.00200577	5.00143e-06	5.18618e-05	2.9773e-05	0.000572106	0.000355387	0.00454725	0.000717171	3.96721e-07	1.91383e-07	1.76694e-05	0.000373068	1.42358e-05	2.44319e-05	3.4384e-06	4.0521e-05	8.93778e-06	0	0.000238599	1.74587e-05	0.000997228	0	0	4.67551e-06	0.00452347	0.000987955	0	0	0.000650909	2.76738e-05	0.000336484	0.000336319	0.00130503	1.48876e-05	6.73533e-06	0	0	3.34225e-06	0	0	0	0	0.000339302	0	3.61716e-06	0	0	0.000982734	0	0	0	0	0	0.000218698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00448787	0	0	0	0	0	0	0	0	0
d1_7	0.00176152	4.17367e-05	6.4407e-05	2.42204e-05	2.4376e-05	4.02171e-05	7.16404e-06	0	1.28821e-05	7.17593e-06	0	6.69925e-06	1.31105e-06	0	0.00100331	0.000688657	1.88089e-05	9.8529e-06	1.33623e-05	0	0	0.000641694	0	0.000134796	0.00099256	6.17206e-06	9.22396e-06	3.20183e-06	0.000641125	1.42106e-05	0	0.00131084	0.000530803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.07634e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_8	0.00109845	0.000364388	0.000575733	9.35611e-06	0.000539753	1.55126e-06	0.00026046	9.4005e-06	2.2468e-05	3.86213e-05	0.00486248	0.000962309	0.00483076	1.83984e-06	0.000668914	0	0.00449014	0.00022741	0	0.000345105	2.26828e-05	0	1.20554e-05	7.94956e-06	0	1.93838e-06	7.34445e-06	7.57146e-06	4.19564e-06	0.000357426	0	1.45924e-05	0	0.000339161	0.00480844	0	0	1.6822e-06	0	0.00449735	0	0	0.000654633	0	0	0	0	0	0	0.000641125	0	6.13986e-06	0	0	0	0	0	0	0	9.61246e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000344832	0	0	0	0	0	0	0	0	0
d1_9	0.00548418	1.3242e-05	0.00130696	1.96706e-05	5.90415e-05	3.86968e-06	0.000979419	0.000152281	7.6188e-06	1.67015e-06	2.88262e-05	1.05243e-05	0	3.83051e-05	2.49139e-05	7.95261e-06	0.00102405	0.000534384	5.37396e-06	8.77223e-06	0.000215319	0	0	0.00131887	2.41791e-07	9.80981e-06	5.65043e-06	1.10084e-06	0	0	0	0	0	0.00483058	0	0	0	0.000344705	0	0.000648016	1.11607e-05	0	0	0.00034982	0	0	0.000654793	0	0	0	0.00448787	0	0.000336786	0.00480844	0	0	0	0.000963906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
