	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94	d0_95	d0_96	d0_97	d0_98	d0_99	d0_100	d0_101
d2_0	0	0.131774	0.0321241	0.0158278	0.00843751	0.00917011	0.00444255	0.00722752	0.00793784	0.0064372	0.00194434	0.00130517	0.00552529	0.000494054	0.00986412	0.00495707	0.000412747	0.00127935	0.00630368	0.00173542	0.00141255	0.000381904	0.000152126	0.00510923	0.00108627	0.000105066	9.95952e-05	0.000408002	0.00502254	7.36264e-05	5.09857e-05	4.06272e-05	3.6079e-05	0.00546151	4.13968e-05	0.000384001	2.3201e-05	0.00033187	2.60223e-05	1.2375e-05	5.46978e-06	0.00132095	1.56723e-05	0.000355008	2.29914e-05	1.67353e-05	0	0	1.63854e-05	0	0	0	0	0	0	0	0.000344958	0	0	0	0	0	0	0	0	0	9.90005e-06	0	0	0	6.83387e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0731271	4.31978e-05	3.67422e-06	6.45374e-05	3.51736e-05	8.06495e-06	8.89347e-06	1.84273e-05	2.86446e-05	0.00488335	5.33485e-05	3.76248e-07	2.71616e-06	0	2.0224e-06	3.90237e-05	2.7082e-07	2.08007e-05	1.44136e-05	1.83453e-07	0.00490183	0.000659746	4.34145e-06	1.98843e-05	9.03197e-06	1.10857e-05	2.49109e-05	0.000363447	0	0	0	0	3.12412e-06	8.05772e-06	0	0	1.02363e-05	0	0.000994716	0	0	0	0	0	0	0	0	1.3179e-05	0	3.16248e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0310217	0.00101169	2.11138e-05	1.63748e-06	7.99843e-05	0.00123303	1.27098e-05	4.50338e-06	3.09598e-05	1.32487e-05	1.25961e-05	1.10806e-06	5.87515e-05	9.44375e-06	1.20323e-05	4.58997e-05	0	1.35926e-05	0.000683633	0	1.25432e-05	0	0	0	4.65124e-06	0	0.000229979	1.15741e-05	1.95221e-06	0	0	3.68141e-06	2.8396e-05	0	0	0	0	0	0	0	0.000350082	3.3897e-06	0	0	0	6.78113e-06	0	0	0	0	0	3.2782e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0205178	3.05717e-05	6.24849e-07	7.24621e-06	0.000360357	1.65618e-05	0.000357147	8.66267e-06	0.000400686	2.12416e-05	5.93806e-06	0	6.56185e-06	0.00121931	5.79968e-06	0.00455085	8.28853e-06	0.000227433	0	7.16438e-06	0	0.000378495	0.0052052	0	1.19701e-05	0	0	9.27826e-06	0	1.80504e-05	0	3.46113e-06	0	0	0	0	0	0	0	0.000224075	0	0	0	0	0	0	0	0	0	0	0	0	2.23508e-06	0	6.70132e-06	0	0	0	0	0	0	0	0	0.000647327	0	0	0	0	0	0	0	0	0.000970991	0	0	0.000647327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.00598529	0.000255556	1.27136e-05	1.31091e-05	0.0012074	1.92886e-05	4.81933e-05	2.48132e-05	0.000717118	0.00100757	1.30029e-05	5.90103e-06	0.00554681	4.54638e-06	3.72501e-06	0.00453681	7.65654e-06	2.06945e-06	0	2.50153e-05	0.000979859	0	0	0	5.2262e-06	1.99928e-06	6.93415e-07	2.35657e-05	0	0	0	0	0	0	0	0	0	1.34346e-05	1.46356e-07	0	0	0	0.000647327	0	4.58033e-06	0	0	0	1.617e-05	0	0	0	0	4.17253e-06	0	0.000332986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.00442368	1.58685e-05	0.000525629	3.28971e-05	3.23048e-06	0	5.16714e-05	1.93122e-06	9.00182e-06	5.26907e-07	0	2.28214e-05	1.63304e-05	9.67735e-06	0	0.000382519	8.98859e-06	0.00154811	8.31879e-06	2.57808e-05	0	0.000676259	0.0048923	8.45389e-06	0	0.0011934	1.5126e-06	3.08595e-06	5.98406e-06	0	0	0	0	0	8.4323e-06	0	2.47587e-07	0	0	0	2.11161e-05	0.00488265	0	0	0	0	0.000349824	0.00453129	0	0	0	9.04859e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00305921	7.26107e-06	0.000360374	0.00102732	3.58106e-05	8.0124e-06	2.09691e-05	0.000574919	0.000240514	0.000365191	0	1.62426e-05	1.32847e-05	0	3.53767e-06	0	0.000694879	0.00100768	3.61773e-06	0.000986892	2.63044e-06	0	3.22667e-07	1.04568e-05	0	0	0.00453129	0	0	0	4.09078e-06	0	0	0	1.31655e-05	0	0	0.000220672	0	0	0	0	0	0	7.49691e-06	0	2.01068e-06	0	0	0	0	0	0	0	0	0	0	1.95766e-06	0	0	0	0	0	0	0	0	0.000978037	0	0	0	0.00453129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000983439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.0115672	3.20034e-05	6.7529e-06	3.3885e-05	3.07351e-06	5.12952e-06	0.000234065	2.19153e-05	1.78534e-05	9.81107e-06	2.84376e-05	6.04757e-05	0.000661234	1.05541e-05	2.57006e-06	3.01331e-05	0.000988385	8.59338e-07	2.74816e-06	0	0.000555432	0	2.57793e-05	2.58671e-06	0	0.000561048	7.9758e-06	0	6.93139e-06	0.00506933	0	0	0	3.01988e-06	0	0	0	0	1.83827e-07	0	0	0	0	0	4.68255e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50559e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.00151485	2.30736e-05	6.59076e-06	4.64975e-05	1.56811e-06	4.98038e-06	2.50942e-05	0	2.12216e-06	7.65477e-06	3.35098e-06	3.46197e-06	0.000998514	3.44457e-06	1.32656e-06	3.01861e-07	1.79369e-06	0	0.00454405	4.09278e-05	0	1.50691e-05	1.99113e-06	1.15847e-07	7.65527e-07	0	0.00487335	0.000679308	0	0	0	2.01812e-05	2.14298e-05	0	0	0	7.54215e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	5.56494e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.00100956	3.38136e-06	1.37781e-06	9.35498e-06	0	0.00457451	0.000671627	9.60109e-06	0	0.00099708	6.96942e-06	5.73695e-06	0	0	6.29147e-06	4.40861e-05	2.80266e-06	8.63112e-06	6.28663e-06	0	0	0	0	0	2.52153e-05	0	0	1.80022e-05	3.41866e-06	0	0	0	6.53323e-06	0	4.95354e-06	8.13103e-06	4.61324e-06	0	0	0	0	1.32427e-05	0	1.0791e-05	0	0	0	0.000340831	0	0	0	0	0	0	0	0	5.68538e-06	0	0	0.000662173	0	0	4.77216e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
