	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94	d0_95	d0_96	d0_97	d0_98	d0_99	d0_100	d0_101
d1_0	0	0.134346	0.0327323	0.0161225	0.0102112	0.0152194	0.00487802	0.0074261	0.0073488	0.00637934	0.00199951	0.00131327	0.00563312	0.000491235	0.00541374	0.00970531	0.0014241	0.00129892	0.00643719	0.00144335	0.00142874	0.000747399	0.000157512	0.00520427	0.00110725	0.000118167	0.000100157	6.33119e-05	0.0051206	5.94733e-05	5.19704e-05	4.14118e-05	6.02971e-05	0.0052174	3.9598e-05	0.000383	1.21714e-05	0.00033828	2.65249e-05	1.2614e-05	0.000362419	0.00134647	1.5975e-05	0.000361864	2.23899e-05	7.1185e-06	2.04951e-06	0	1.19264e-05	0	0	0	0	0	0	0	0.000351621	0	0	0	0	0	0	0	0	0	1.00913e-05	0	0	0	6.96586e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_1	0.0765542	5.45118e-05	5.32061e-06	0.000352009	3.30459e-05	1.22462e-05	0.000255039	8.07938e-06	5.04894e-05	0.00158346	3.75143e-05	1.30097e-05	0	7.08771e-06	1.8252e-05	3.50262e-05	2.82284e-05	0.000216691	0.000688283	0	0.0010057	5.39659e-07	0.00102482	1.27117e-05	1.39475e-05	0	2.23912e-05	0.00035973	6.09963e-06	0.00516724	0	0	0	0	0	0	4.4e-06	0.000224934	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00498319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000659829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_2	0.0289878	0.00106675	2.21586e-05	5.45313e-05	1.90903e-05	2.24616e-05	4.57471e-05	3.20615e-05	4.8516e-05	1.48024e-05	3.23937e-05	3.25227e-05	0.00105591	1.82577e-05	1.14903e-05	3.92932e-05	1.86e-05	0.00104922	3.64034e-07	0	0.00568358	9.79324e-06	2.1195e-06	0	0	0.00121645	0.000222139	1.79486e-05	0	0	0	1.4438e-05	2.88374e-06	8.00127e-06	2.59826e-06	8.41702e-06	0	1.3694e-05	0	0	2.15239e-05	0	0	0	8.68726e-06	0	0	1.34335e-05	4.77544e-06	0	0	0	2.27824e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_3	0.0120672	1.63942e-05	4.20731e-05	0.00467122	1.94284e-06	3.6947e-05	3.89517e-05	2.30477e-05	0.000717417	1.31421e-05	1.62934e-06	1.5044e-05	0.000353314	1.69455e-07	3.84556e-05	5.53496e-06	8.57275e-06	0.00101843	1.00957e-05	0.000368182	1.03084e-05	0	0	0	6.07735e-05	0	5.99643e-06	3.48689e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.83075e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_4	0.00386835	0.000261209	1.10856e-05	5.68991e-05	1.97862e-05	1.024e-05	2.71328e-05	2.21467e-05	0.00036801	3.60884e-05	0	3.22492e-07	4.32266e-06	0.00498603	6.41298e-06	0.000367453	0.000686349	1.69161e-05	0.0046267	0	1.14746e-05	0	0.00498407	0	1.35174e-05	0	0.00067503	0.000686163	1.98991e-06	0	0	3.52798e-06	0.00121904	1.76541e-05	0	0	0	0	0	0	0	0	0	0.000529588	0	0	0.00399379	0	0.0012087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_5	0.00251163	2.91375e-05	0.000533492	0.00208407	2.41442e-05	3.85018e-05	4.19589e-05	1.20289e-05	2.13738e-06	0.00102102	1.14124e-05	1.11673e-05	4.32904e-06	0	5.26009e-06	1.87097e-05	0.000696024	2.51521e-05	0.00399066	2.62787e-05	0	4.16501e-06	3.28899e-07	1.43903e-05	0	6.76724e-07	0.00498204	0	0	1.43754e-05	0	0.000226689	0.000990368	0	0	0	1.42362e-05	0	0.00101393	0	8.81937e-07	0	4.96709e-06	0	0	0	0	0	1.64823e-05	0	0	0	0	0	0	0.000339417	0	0	0	0.000674962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_6	0.00665924	0.00103196	7.62757e-06	1.71783e-05	3.69454e-05	1.47291e-05	0.000242196	0.0046497	3.6499e-05	0.00497885	2.46854e-05	1.00289e-05	0.000360877	7.77695e-06	2.77279e-05	0.000220634	1.38976e-05	0	1.12079e-05	0	3.33787e-06	0.000696688	0.00531556	1.18084e-07	9.18267e-06	0.00119767	8.12984e-06	0	0	0	4.16978e-06	0	6.35196e-07	0	0	3.8597e-06	0	0	0	0.00155986	2.29206e-05	0	0	0	0.000356758	0	0	0	0.000659829	0	0	0	0	0	8.98983e-06	0	0	0	0	0	2.55398e-05	0.000659829	1.18051e-05	0.000659829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000529867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_7	0.00234003	1.27783e-05	0.00122555	1.77103e-05	3.80548e-05	0	2.01404e-05	2.66821e-06	2.04657e-05	0.00102178	3.04562e-06	0.000383063	9.60161e-06	0.00123911	0.000869473	0.000576766	1.15757e-05	0.00057398	0.00980154	0	0.00120515	0.00530582	0	0.000557674	0	2.26657e-06	0	0.0049707	0	1.55751e-05	0	0	1.3523e-05	0	8.59516e-06	0.000687731	0	0	1.49182e-07	0	0	3.45517e-06	0.000659829	0	4.77299e-06	2.69302e-05	0	0.000666853	0	0	0.000672076	0.000659829	0.00066406	8.07345e-06	0	0	5.53782e-06	1.99547e-06	0	0	0	0	0	0	0	0	0.000996927	0	0	0	0.00461881	0	0	0	4.24369e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18343e-05	0	0	0	0	0	0	0	0	0	0	0
d1_8	0.00599832	7.61128e-06	3.16594e-05	4.05134e-05	0	1.46735e-06	5.78656e-05	0.000569743	0.00101562	6.4008e-07	3.2736e-06	0.00519199	2.33971e-05	1.66113e-05	0.00528967	8.40319e-06	0.000659929	0	0	1.29763e-05	0.00055817	1.02129e-05	0.000998649	0	0	2.71319e-05	0	0	0	0	2.78835e-06	0	0	0	0	0	0	0	1.87377e-07	0	0.000204221	0	0	0	0	0.000332956	0	0	0	0	3.621e-07	0.00035508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98074e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_9	0.00575211	2.21242e-06	0.000384215	3.0009e-06	1.1107e-05	8.8279e-06	5.30907e-06	2.52664e-06	0.00104312	1.63684e-05	0.000345601	4.68121e-06	0.00532334	2.44341e-05	2.35544e-06	8.8947e-06	0.000668838	1.27915e-05	0.000666186	0	0.00516952	2.55851e-05	0	2.63667e-06	0	2.98043e-06	0	0.000364234	0	1.06596e-05	0	0	0	0	1.34198e-05	0.0010162	0.00463063	0	1.76441e-05	0.00023748	0	0	0	0	0.000674366	0	0.00035658	0.00461881	1.18205e-05	0	0.00496855	0	0	0	0	0	0	0	0	4.85983e-06	1.44631e-06	0	0	0	0	0	0	1.68237e-06	2.38975e-05	0	0	0	0.000989744	0	0	0.000659829	0	0	0	1.57448e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
