	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_0	0	0.0865515	0.0193084	0.00607776	0.00274018	0.00130894	0.000611863	0.000453166	0.00690042	0.00059164	0.000132319	0.000433216	3.51426e-06	1.40367e-05	4.64871e-06	0	0	1.02625e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0801515	0.0015625	0.00670506	0.00593207	0.000287898	0.00142142	0.00696693	0.000409327	8.09325e-05	8.49304e-05	3.55677e-05	2.58207e-05	7.73138e-06	5.78968e-06	2.10856e-06	0	0	0	3.84039e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0297343	0.00195563	0.00765224	0.000474269	0.000272704	0.000241716	0.000103339	0.000413571	0.000157673	0.000404642	0.000903029	3.67241e-05	7.02853e-07	4.43966e-05	0	0	0	0	3.1889e-06	8.23475e-06	0	0	3.98092e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0181604	0.000711268	0.000508775	0.000791027	0.00072853	0.000179341	0.0127734	0.00150347	0.000104393	0.00239452	0.005585	8.43423e-06	4.14591e-05	6.34755e-06	1.44154e-05	4.91997e-06	8.6729e-06	1.53655e-05	1.49047e-05	1.35662e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.0127146	0.00160953	0.000392866	0.00156369	0.00042676	0.000554596	4.52972e-05	0.00211666	0.000107643	0.00642743	2.90865e-05	3.86569e-06	1.54254e-05	1.40571e-06	2.46307e-05	8.78566e-06	1.15971e-05	9.48851e-06	0	0	0	0	5.06697e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.00351723	0.000403543	0.0018875	0.00148436	0.00662266	0.00100057	8.30539e-05	0.00158568	2.87202e-05	0.00601619	6.7951e-05	8.316e-06	0.00597435	4.35867e-05	0	1.75713e-06	0	0	0	1.92113e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00183372	0.0010537	0.00219787	0.000239788	0.00101591	0.00137048	0.000192996	0.00672518	0.000723413	0.000539258	3.1113e-05	3.7018e-05	1.12456e-05	0	0.00119425	0.00673026	9.89962e-06	5.62282e-06	0	1.12138e-06	0	2.53661e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00222028	0.00668548	0.00614903	0.000135337	0.000121726	6.93263e-05	0.000150095	0.000153378	0.000776361	0.00553076	7.49858e-05	0.00128511	5.97425e-06	0.000728755	1.25342e-05	1.86472e-05	5.46815e-06	0	4.19628e-05	0	2.07409e-05	6.73218e-05	0	8.55873e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.000523238	0.000170867	0.00142109	0.000508946	0.00646232	0.00604643	4.65117e-05	4.19456e-05	4.33599e-05	2.62846e-05	0.000129595	2.20138e-05	4.93913e-05	3.36398e-05	1.6039e-05	2.05622e-05	1.35862e-05	1.40571e-06	4.56854e-06	1.32693e-05	6.54255e-06	7.02853e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.00591167	0.00156229	9.60021e-05	9.1455e-05	6.13303e-05	0.000882133	9.63234e-05	3.30572e-05	3.4923e-05	6.32567e-06	4.25225e-05	7.2012e-05	2.99506e-05	1.35838e-05	1.53036e-05	0.00127397	3.06635e-05	1.01908e-05	8.75338e-06	0	0	0	0	0	0	0	7.9337e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
