	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_0	0	0.0929765	0.0242674	0.0141194	0.0122854	0.018896	0.00240674	0.00107468	0.000384335	0.0002112	9.12878e-05	0.000127073	0.000104547	4.9615e-05	2.04685e-05	3.00525e-06	1.24609e-05	3.75656e-06	8.26444e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0642374	0.00557775	0.000486817	0.00185131	0.000207459	0.000206501	0.000142615	0.00161576	4.47983e-05	0.000123146	2.55446e-05	1.54019e-05	4.88353e-06	7.69954e-06	2.34245e-05	0	7.88879e-06	0.000872924	0.00131605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0244632	0.0013207	0.000985573	0.000892389	0.00791684	0.00103088	0.00186206	6.67183e-05	0.000924201	0.0129494	0.0084844	3.68646e-05	7.04148e-05	4.77494e-05	0.00509915	0.000732806	0	0	1.728e-05	7.51313e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.012925	0.00348868	0.00278558	0.0130118	0.000311478	0.00646614	0.000110925	4.95546e-05	0.000909866	5.71719e-05	0.00683121	5.44146e-05	1.71903e-05	1.16453e-05	3.04325e-05	0.000460395	8.18643e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.00640113	0.000255271	0.000487831	0.000317649	0.000276344	0.000112811	0.000610171	0.00654096	2.10368e-05	0.00135546	7.81951e-05	2.25394e-06	9.39141e-06	1.46513e-05	2.25394e-06	5.36426e-05	7.51313e-07	2.6296e-06	4.13222e-06	1.0416e-05	4.50788e-06	3.5574e-05	0	5.35804e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.00381952	0.000220135	0.000977554	0.000191512	0.00012503	0.00600126	0.000376735	0.00172231	0.000476406	6.2574e-05	1.9216e-05	2.09125e-05	1.30252e-05	3.83838e-05	1.50263e-06	1.50263e-06	6.13526e-06	0	0	0	8.26444e-06	3.38091e-06	0	0	4.47702e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00258583	0.000548006	0.00146291	0.000121376	0.00522863	0.0016166	0.00138059	0.00595274	2.61366e-05	1.87828e-06	6.76182e-06	5.63185e-05	3.27165e-05	1.0689e-06	0	8.31645e-06	2.20559e-05	2.33519e-05	1.22834e-05	1.12697e-05	0	0	0	0	0	0	0	0	0	0	0	0	4.08583e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00153768	0.00108303	7.98588e-05	0.000169335	0.000572589	2.2915e-05	3.27484e-05	0.0016696	9.73009e-05	9.65533e-05	5.85974e-05	0.00869947	0.000482991	1.52754e-05	0.000480671	0.00283226	2.00503e-05	0.00593255	0.000724166	9.0759e-06	1.87828e-06	0.00658854	0	0	0	0	0	0	0	0	0	0	3.45163e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.00844923	0.000148432	0.000149341	0.000196227	8.79817e-05	8.52899e-05	0.00014484	7.6642e-05	0.000127451	0.000126858	0.000104182	5.21017e-05	4.61045e-05	2.71142e-05	3.4352e-05	8.69562e-06	1.3233e-05	0.000737941	2.42171e-05	5.25919e-06	1.39499e-05	0	0	0	4.50788e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.00160341	7.9394e-05	0.000168214	9.22718e-05	0.000120545	8.77642e-05	9.31662e-05	0.000339563	6.17263e-05	5.35508e-05	4.61935e-06	2.6296e-06	0.000840289	0.000892986	1.815e-05	0.000524111	3.74981e-05	0.00506577	6.18073e-06	0	2.59014e-06	1.65571e-05	5.3654e-06	0.00633177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
