	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94	d0_95	d0_96	d0_97	d0_98	d0_99	d0_100	d0_101
d1_0	0	0.136262	0.0354707	0.0285025	0.00602337	0.00394241	0.0136729	0.00253715	0.00217311	0.00187885	0.012689	0.00116461	0.0114633	0.000972847	0.00688327	0.000894729	0.00647102	0.00691967	0.00151761	0.00616778	0.00113439	0.00115326	0.00251165	0.000107177	0.000122826	6.67285e-05	0.00550847	0.00536842	7.56455e-05	8.20438e-05	0.00501696	9.629e-05	9.73036e-06	8.27059e-05	1.16578e-05	0.00103575	5.80984e-06	0.00122733	0.00396963	2.49834e-05	0	0.000663417	2.81853e-05	4.01552e-07	0.000344238	2.03626e-05	0	0.00119533	0	2.38152e-06	4.64275e-05	0.00119047	0	1.34156e-05	0	7.35962e-06	0	0.000657501	0	0	1.29447e-05	0	0	0	0	0	0	0	0	0	0	0.000657501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_1	0.0732722	6.92125e-05	3.50561e-05	0.00122698	0.000374546	3.9186e-05	3.49608e-05	0.000154277	4.63039e-07	0.000368369	1.09125e-05	0.000723249	1.81205e-06	0	0	0.0039898	6.0909e-06	0.000997086	0	0	2.2084e-05	0.00120926	2.59861e-05	0	0	4.11354e-06	1.72004e-05	0	5.43971e-06	3.53579e-06	7.11573e-06	1.45149e-06	0	0	1.66437e-05	0	0	0	3.32794e-06	0.000684949	0	0	0.00119772	0	3.9766e-06	0.000232488	0	0	0	0	0	0	0	0	0	0	0	0	4.17783e-06	0	0	0	1.29597e-07	0	0	0	0	0	0.00460251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_2	0.0209648	1.65663e-05	3.75695e-05	2.12203e-05	2.42817e-05	0.000366321	0.00104051	7.99272e-06	0.000747391	3.44141e-05	6.71063e-06	0.000583331	2.10965e-05	3.83207e-05	5.51161e-05	0.000706131	2.56578e-05	3.69862e-05	4.74702e-05	0.000999143	2.06382e-05	4.55544e-06	0	1.68362e-05	2.23568e-05	0.0012148	2.19689e-06	1.40622e-05	0	1.53525e-05	0	0.00121478	2.99838e-06	0	0	0.000212455	5.16213e-06	0	6.3539e-07	0	0	0	0	0	0	0	0	0	1.26574e-05	0	0.00493162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_3	0.00818584	1.28878e-05	2.73824e-05	3.39949e-05	3.13107e-05	1.96151e-05	2.39328e-05	6.18364e-05	7.32542e-06	0.00500922	1.45258e-05	5.48914e-06	0.000180434	2.11971e-05	0.00463877	5.96084e-05	1.2511e-05	4.00238e-05	0.00464667	1.89151e-05	1.23023e-05	6.34697e-07	1.30653e-05	4.42784e-06	0	2.26574e-06	1.29369e-05	0	0	0	3.5292e-05	6.96292e-06	0	3.41287e-07	0.00120994	0	1.76264e-05	0	0	0	6.78184e-06	1.67974e-05	0	9.57231e-06	0	0	0	0	0	0	9.83327e-06	0	0	0	0	0	0	0	0.000346365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_4	0.00600721	0.000627084	6.93096e-05	4.96673e-05	1.10617e-05	5.10251e-05	7.42369e-06	2.43415e-05	0.00484392	2.87114e-05	8.93436e-06	0.000561216	0	0.000217833	2.53797e-05	2.30992e-05	2.72454e-05	6.58446e-07	0.00464195	0.00118408	0.00465956	0	2.85448e-06	0	0.000702508	0.0049639	0	1.88785e-05	1.84247e-05	2.63306e-06	0	3.09446e-06	5.16359e-06	1.12141e-05	6.10713e-06	2.81153e-07	0	0	0	0	5.31912e-06	0	0	5.99236e-06	0.0046114	0	5.3416e-06	0	0	0	0	9.94989e-07	0	3.27345e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000994777	0	0	0	0	0	0	0	0	0	0.000657501	9.43026e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_5	0.0128671	8.50463e-06	4.73016e-05	0.00076285	3.57123e-05	0.00104811	0.000727318	0.00463238	5.7052e-06	3.41494e-05	0.000715818	0.00464243	1.53624e-06	0.00122304	0.00219235	0.000352908	0	3.12611e-06	5.35874e-07	1.14958e-05	7.54172e-06	0	0.000355513	0	0.000696758	0	1.30575e-05	0	0	2.67357e-06	0	9.48147e-06	2.01609e-06	2.40466e-05	6.01108e-07	1.60131e-05	0	0	0.00101038	0	0	0	0	0.00100601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.61457e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_6	0.00243205	1.12057e-05	5.16735e-05	3.5593e-05	0.000367965	3.89998e-07	0.000248354	2.25692e-05	0	2.02887e-06	3.10872e-05	4.16994e-06	4.32581e-06	1.54221e-06	5.16036e-06	0	0.00101734	3.50288e-05	2.60925e-05	0.00101358	0	1.96393e-05	2.89072e-05	0	0.00166325	1.28618e-06	0	0	5.76595e-06	2.39526e-06	1.34629e-06	0.000682768	0	1.88446e-05	4.4629e-06	0	3.11671e-06	2.95671e-05	0.00461477	0.00067409	0	0	3.77004e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000343706	0	0	0	0	0	0	0.000657501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_7	0.0022904	2.37957e-05	4.28121e-05	4.27688e-05	2.68108e-05	0.0101687	8.66115e-05	3.19686e-06	1.65231e-06	1.00161e-05	2.46115e-05	2.05256e-06	7.52851e-07	1.13729e-05	0.000563864	0	9.72246e-07	0.000231117	1.29724e-05	0.00121927	0	0.000230339	0.000214076	0	0	6.99692e-06	0	0	0	0	0	0	0.00070064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0049481	0	0	0	0	0	0	0	0.00462857	2.68406e-06	0	0	0	0	0	1.18484e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_8	0.00121188	0	2.67093e-05	2.37546e-05	1.7023e-05	0.000732082	0.000204632	2.1758e-05	0.00121215	1.16216e-05	1.41654e-05	1.52435e-05	4.60922e-07	1.22897e-05	0	4.88305e-06	2.29581e-05	1.78552e-05	0.000202094	0.00461114	0.000660636	0	0	8.41525e-06	8.87429e-06	0	0	0	0	8.07597e-06	0	5.90717e-06	0	0	0	0	2.7317e-08	0	0	0.000366429	1.05549e-05	0	2.96995e-06	8.0279e-06	0	0	0	0	0	0	0	0.00067595	8.03804e-06	0	0	0	0	0	0	0	0	0	0.000986252	0.00460251	0	0	0.000987686	0	0	0	0	3.15202e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_9	0.00164252	0.00020894	1.30885e-06	0.0049557	1.76403e-05	0.00119504	2.14535e-05	3.80458e-05	0.00101268	2.78126e-05	7.27707e-06	4.29262e-06	1.06135e-05	0.000667446	0.00033237	1.65063e-05	0.0046215	4.97576e-06	1.07486e-05	0.00989105	1.88276e-06	0.000232017	0	4.01523e-06	0	0	0	0	0.00553278	0.00101099	0	0	0	0	0	0	0	0	0	0	1.7666e-05	0	0	1.69155e-07	0	6.07081e-06	0	0	4.1756e-06	0	0.000657501	0	1.05317e-06	0.000548042	0	0	0	0	0	0	0	0	0	0	0.000689923	0	0	0	9.4305e-06	0	6.62619e-06	0	0.00066384	0	0	0	0	6.56309e-06	0	0	0	0	0	0.000669197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
