	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94	d0_95	d0_96	d0_97	d0_98	d0_99	d0_100	d0_101
d1_0	0	0.136712	0.033619	0.0120078	0.00665389	0.0127165	0.00490248	0.00319302	0.00369841	0.0113601	0.00244222	0.00703952	0.00648553	0.0017962	0.00205896	0.00106304	0.000699986	0.000548051	0.00068109	0.0101546	0.00136744	0.000461351	0.0060353	0.000181172	0.00142369	0.000487947	0.00479519	0.00107043	0.000134481	0.000592239	6.03468e-05	0.000600437	0.00536589	5.53766e-05	0.00637908	3.95036e-05	2.87754e-05	9.18047e-06	1.90492e-05	4.70264e-05	1.07097e-06	0.000694101	0.000250912	0	0.000549141	6.71668e-06	2.57421e-05	2.381e-06	0	0	2.28453e-05	0	0.000332418	0.000671296	0	1.90988e-06	0	0.00466284	0	0	0	0	0	0	0	0	0	0	0	4.77003e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_1	0.08128	0.000404202	0.00162626	2.0894e-05	8.65775e-05	0.000345524	0.000262731	1.04529e-05	2.75727e-05	0.000458394	2.86123e-05	0	0.000692522	0.000256079	0	0.000372647	8.88186e-06	2.01953e-05	0.000702636	0.000568189	0	1.78615e-05	4.14634e-06	1.92707e-08	0	2.54193e-05	0	4.85393e-07	3.4771e-05	0	0.000545456	0.00465386	1.82219e-05	0	4.60109e-06	3.07443e-08	0	0	0.000667537	0	1.09174e-05	3.66808e-06	0	1.62786e-05	3.62747e-06	4.96111e-06	0	0	0	0	0	0	0	0	3.95847e-06	0	0	0	0.0050088	0	0	0	0	0.0003505	0	3.88697e-06	3.56548e-06	0	0	0.000342309	0	0	0.00101638	0	0	0	0	0	0	0	0	0	0.00067727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_2	0.0206041	0.000246278	1.62784e-05	2.92625e-05	1.50033e-05	0.00103297	6.17866e-06	1.7842e-05	4.08726e-05	2.22978e-05	6.12609e-07	3.37679e-05	6.72606e-06	1.09895e-05	1.68993e-05	2.03806e-05	9.37525e-06	0	1.05985e-05	0.00120168	5.94599e-06	0.00105243	0.000664836	0	6.01148e-06	0.0050081	0	2.13549e-06	0.00101195	1.79468e-05	0	0.0046729	0	1.06117e-06	3.51081e-06	1.56131e-06	0	0	0	0	4.485e-06	0.000692082	4.73909e-06	0	0	0	0	0	6.91408e-07	0	0	0	0	0	0	0	0	2.33992e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10286e-05	0	0.00021332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_3	0.00800803	0.000274322	3.03623e-05	0.000388371	1.56975e-05	0.00504465	0.0093242	0	2.80734e-05	3.13339e-06	5.96389e-06	0.000720303	4.28833e-06	5.64463e-05	4.40584e-06	2.16709e-05	0	4.09701e-05	0	7.73267e-07	2.49224e-05	6.69098e-06	9.41459e-06	2.63006e-05	0.000610848	0.000664836	0	0	1.93682e-06	8.37129e-06	0	0.00520621	0	1.70443e-05	6.63504e-06	0	0.00169145	0	0	0	0	6.99556e-06	0	0	0	2.02331e-05	0	0	0	0	0	0.00465385	4.65277e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_4	0.00587808	0	1.36522e-05	4.23591e-06	2.56568e-06	5.9934e-05	0.00607517	1.32455e-05	1.16342e-05	1.68108e-05	2.25973e-05	1.41289e-05	0.000238733	3.27419e-05	1.45228e-06	0.00500965	3.46181e-05	0	0	3.36278e-06	0	0.00123135	0	0	0.00100274	3.54934e-06	6.41632e-06	4.80718e-06	1.44802e-05	0.000355933	0	3.37582e-05	1.57104e-06	0	3.6246e-06	0	0	0	0.000533773	0	0	2.14301e-05	0	0	0	0	3.40436e-07	0	0	0.00465975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_5	0.00597808	1.79724e-05	6.47037e-06	0.000582557	3.07998e-05	2.13771e-06	2.44131e-05	0.00104986	0.000397688	0.00013778	4.15959e-05	0	0.000693931	0.00568871	3.18648e-05	2.1825e-05	0.00468913	0.00071346	7.96976e-06	2.51335e-06	0	3.08551e-05	0	0.00524243	0	0.00103329	0	0	0	0.00033632	0	0	0	1.23223e-05	0.0006771	0	0	0	0	0	0	0	0	0	0	0.000340959	0	0	0	0	0	0	0	0.00466591	1.13569e-05	9.15568e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_6	0.00392093	0.00127091	0.000387797	1.26421e-05	0.0050357	1.21697e-05	6.00439e-06	3.72913e-06	1.9088e-05	0.000295834	0.000729727	0.00037632	0	8.34239e-06	0.000589365	3.31437e-05	0	2.93469e-05	0	0.00102471	1.72647e-06	0	1.695e-05	0	0	2.63748e-05	4.62365e-06	0	0.000680656	0	0	7.50453e-06	0	0	0.000681358	0.0040097	0	5.99064e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.20975e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.00120708	0.000997253	0	0	0.00465385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_7	0.00391266	5.30047e-05	5.56147e-05	0.000184311	2.48375e-05	0.000107703	0.000377763	5.85194e-07	1.58493e-06	0	2.32397e-05	1.92709e-06	0.000366268	0	1.31612e-05	4.35828e-06	1.18273e-06	1.32133e-05	3.06142e-06	1.26727e-06	0	0	2.7922e-05	0	8.17054e-06	0	2.26923e-06	5.15248e-06	0	0	2.04175e-06	0	0	0	6.9161e-06	0	0	1.8119e-05	0.000164562	0	0	0.00503105	0	0	0	0.00400387	0	0	0	0	0	0.000540086	0	0	0	0	0	0	0	0	0	0.000997986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_8	0.000958234	1.3039e-05	2.10834e-05	1.29367e-05	8.10693e-06	1.95432e-05	1.20807e-05	0.00569383	1.23816e-05	2.45932e-05	2.3607e-05	9.47613e-06	1.71223e-07	4.00393e-06	4.88462e-05	0.00105552	1.30373e-05	0	8.2458e-06	0	0.00102912	4.08716e-06	0	3.4412e-07	0.000542842	0.000664957	3.56654e-06	0	0	1.02761e-05	0	0.000364244	0	1.08282e-05	0	0	0.000455108	4.34308e-06	0	0	3.37864e-06	0	0.000335732	0	0	0	0	0	0	0	0	0	0.000683223	1.02149e-06	0	0	0	0.00401334	0	2.44637e-06	0	0	0	0	0	0	0	0.00465385	0	0.000338963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_9	0.00202618	2.53824e-05	3.13127e-06	1.58268e-05	1.46476e-05	0.000569943	1.19892e-05	1.2664e-05	1.50763e-05	2.91178e-05	9.63005e-06	0	1.73391e-05	2.02847e-06	2.3115e-05	0.00502083	7.01543e-06	0.00524309	0	1.32131e-05	0.000235421	3.29972e-06	0	1.52675e-05	8.27657e-06	0	1.048e-05	0.00067914	0	8.61884e-06	1.4504e-05	1.01987e-05	1.27511e-05	0.00154997	0.000346714	0	0	1.72281e-05	0	0.000337866	0	5.54346e-06	0	0	0	0	0	0	0	0	0	0	0.000334801	0	0	0	0	1.28533e-05	1.12068e-06	0	0.00465385	0	0.000664836	0	0	0	0	0.000664836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
