	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_0	0	0.0879822	0.0188178	0.0125084	0.00360767	0.00138755	0.000590646	0.00192782	0.000163911	0.000162937	4.46693e-05	5.14571e-05	3.07738e-05	1.96399e-05	0.00723419	2.80544e-05	0	0	1.42202e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0793998	0.0078127	0.00432688	0.00633881	0.00112072	0.00101478	0.000155907	0.000103042	0.000193024	3.37095e-05	5.80813e-05	5.15289e-05	9.0041e-05	0.000668571	2.4797e-05	0	0	0	1.66917e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0321999	0.00219046	0.00193438	0.00164619	0.000294433	0.00136561	0.00849546	0.000892071	0.000545187	5.05299e-05	1.96189e-05	0.00211244	6.34682e-05	3.53473e-05	1.42202e-06	5.23129e-05	0	0.00124395	5.84631e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.018159	0.000648241	0.000366073	0.00059435	0.000245323	0.00015264	0.000190163	6.35049e-05	0.000114313	0.000349553	1.09906e-05	1.63532e-05	2.1581e-05	0.00044574	0	8.17659e-06	4.62155e-06	1.04024e-05	0	0	0	0	0	4.26605e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.00652272	0.00371366	0.000424399	0.000361527	0.000265734	0.00149253	0.000496371	7.50605e-05	6.76339e-05	5.59828e-05	0.000513005	7.99407e-05	2.68983e-05	0.000282466	2.84403e-06	3.55504e-06	7.11008e-07	5.94961e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.0118922	0.00737328	0.00028568	0.000158174	0.000141601	0.000135046	0.000571089	0.000669632	0.000109902	4.76618e-05	5.76224e-05	0.00623328	0.00125129	1.57211e-05	6.75458e-06	8.71217e-06	7.11008e-07	0	2.13302e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00373774	0.00681811	0.00744353	0.0002467	0.00765332	0.000869157	8.94763e-05	5.79988e-05	4.8285e-05	7.09821e-05	0.000177917	0.00149838	3.73548e-05	0.00682132	5.03373e-05	2.11882e-05	6.39907e-06	2.84403e-06	0	0	0	3.04225e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00111673	0.000348123	0.000194937	0.00708972	0.000156645	0.000119651	0.000207314	0.000764679	0.00134338	0.00131658	3.58877e-05	5.88794e-05	0.00668045	2.88496e-05	7.68382e-06	4.3245e-05	2.10208e-06	0	1.35568e-05	0	0	0	0	7.11008e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.00138563	0.000230129	0.000176025	0.000179297	8.33827e-05	0.00161525	0.00164861	0.000123889	0.000423805	0.00561019	1.15785e-05	0.000305559	3.55504e-06	3.73624e-05	1.39993e-05	3.97972e-05	1.60935e-05	0.00125627	5.68806e-06	0	6.39907e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.0002908	0.000336315	0.00235343	8.27866e-05	3.69724e-05	0.000112343	0.00572666	0.000522043	2.21905e-05	0.00727171	4.01183e-05	1.42202e-05	7.1085e-05	0.000206751	1.35166e-05	6.39907e-06	1.36937e-05	0.000403683	0.000806918	0	2.13302e-06	3.11154e-05	0	0.000286016	0	2.19918e-05	0	0	0	1.14812e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
