	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94	d0_95	d0_96	d0_97	d0_98	d0_99	d0_100	d0_101
d2_0	0	0.13483	0.0333066	0.0108855	0.00655023	0.012626	0.00944625	0.00313906	0.00370275	0.0110787	0.00224092	0.00660081	0.00661484	0.00170509	0.00203158	0.00141694	0.000343372	0.000561325	0.00101728	0.0100371	0.000351137	0.000466125	0.00597385	0.000147867	0.00140103	0.000454524	8.25982e-05	0.00106389	0.000127215	0.000914901	5.97101e-05	0.000594102	0.00530928	5.47499e-05	0.00236902	3.90868e-05	2.84718e-05	9.08361e-06	0.000181674	4.58001e-05	1.05967e-06	0.000688287	0.000216912	0	0	1.15546e-05	2.54705e-05	2.35587e-06	0	0	2.26043e-05	0	0	0	0	1.88973e-06	0	0.00461364	0	0	0	0	0	0	0	0	0.000346833	0	0	0.000343417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0739267	9.37131e-06	1.2425e-05	0.000388901	2.28692e-05	0.000316237	0.00461541	3.5984e-05	2.37328e-05	0.000260773	9.68353e-06	1.2587e-05	4.48968e-05	0	2.35852e-05	1.60821e-06	1.28997e-05	1.49405e-05	9.31422e-06	0.001189	6.02669e-06	0.00102107	7.57119e-06	0.000213923	0	2.85633e-05	2.1942e-05	2.11295e-06	0	0.000332376	2.06656e-05	0	0	0	0.000556352	0	0	0	0	0	1.08156e-05	0.000702802	4.68909e-06	0	0	0	3.05362e-06	0	0	0	0	0	0	0	0	0	0	2.31523e-05	0	2.42056e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0319837	0.00122212	7.85605e-06	3.48551e-05	0.00500306	0.0010409	1.81436e-05	0	0	0.000231925	0.00069213	1.91682e-05	0.000685216	0.000234555	5.44364e-06	8.10123e-07	5.01025e-07	1.31539e-06	0	6.62894e-06	0.00102109	1.10391e-05	6.80357e-07	0.000684442	5.98285e-07	0.000661313	0	0	1.95112e-05	0	4.41894e-06	0	2.02942e-06	0	1.21353e-05	0	0	3.40653e-06	0	0	0	9.29941e-07	0	1.61069e-05	0	0	0	0	0	0	0	0	4.60368e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000335387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0110172	0.00024521	1.14603e-06	5.52253e-06	1.17381e-05	1.79385e-05	1.74054e-05	5.7395e-06	1.70643e-05	7.71891e-06	8.75319e-06	0.000362444	0	1.81079e-07	0	5.99362e-06	0	3.42346e-06	1.05348e-05	3.78421e-06	0.000227208	0	0	4.44179e-06	0	6.05233e-06	0.00464006	0	2.68233e-05	0	0	0	1.55446e-06	0	2.9496e-07	0.00035873	0	0	0	7.30091e-07	0	0	2.90419e-05	0	0	0	3.36844e-07	0	0	5.83406e-06	0	0	0	0.000664214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.0069874	2.36585e-05	0.00159901	2.26028e-05	5.47003e-05	0.000387355	1.47647e-05	6.81742e-06	0.000362549	0.000254923	0	3.71048e-05	0	5.42495e-05	2.72017e-05	0.000260879	2.59584e-05	0.000361554	0.000349846	0	1.49049e-05	0	0	0.000353818	0	0	0	0	0	1.03581e-05	0	1.28121e-08	0	0	1.11176e-05	0	0	0	0	0	6.34917e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.84596e-06	3.52786e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000670124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.00454164	0.00104693	0.000363156	1.40265e-05	1.25827e-05	1.05709e-06	0.000346643	0	1.25346e-05	3.4703e-05	3.67023e-05	2.05664e-05	6.23478e-06	1.30946e-05	2.09229e-07	1.02892e-05	0.000356393	9.27661e-06	0.00513403	2.42025e-05	0.00101662	0	0	0	0	0	0	0	0	0	0.000539701	0.00460584	0	0	0.00460928	3.042e-08	0	0	0.000657821	0	0	0	0	0	0.000543348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00388742	1.49356e-05	2.32308e-05	0.00158813	1.37952e-06	0.00106495	0.000235546	1.69593e-05	3.07846e-05	0.000247815	0.00516432	4.09474e-05	0.00120819	5.92443e-07	1.89437e-05	0.00494136	0	0	0	3.00878e-06	0	0	2.49242e-05	3.4582e-05	0	0.0049507	0	4.80272e-07	0	0	0	1.14961e-05	0	0	0.000657821	0	0	4.29726e-06	0	0	4.45303e-06	5.4839e-06	2.51663e-06	0	0	2.00197e-05	0	0	0	0	0	0	0.000328911	0	3.91671e-06	0	0	0	0.00495595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00249663	1.17805e-05	5.28441e-05	4.1455e-06	1.77373e-05	0.00508194	5.66162e-06	1.12245e-05	7.12822e-06	3.43329e-05	1.24631e-05	0	0.00033652	6.31611e-05	3.86999e-05	1.41321e-05	5.02028e-06	3.0536e-05	1.18178e-05	0	0.00101166	5.91576e-06	0	4.60676e-06	1.22073e-05	0.00516322	5.49262e-06	0.000667143	0	0	9.93199e-06	0	0	0	0	1.54483e-06	0.000684744	0	0	0	0	0	0	0	0	0	0	1.27289e-05	0	0	0	0	0.000331268	0	0	0	0	0	0	0	8.81513e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.00443193	2.77583e-05	1.25144e-05	1.06597e-05	0	0.000364413	6.03979e-07	0	2.87384e-05	5.89123e-06	4.27833e-05	0	0.000657821	1.79356e-05	1.59357e-05	3.30524e-05	1.84928e-05	0.000253824	0	0	0	4.04404e-06	0	0	5.57108e-06	1.20407e-07	0	1.34672e-06	2.02414e-05	0	0	0	0	0	1.62268e-06	0	0	0	0	0	4.43768e-06	0	0.00033219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00460475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.0032722	1.80895e-05	4.17696e-06	0	1.75259e-05	7.4776e-06	3.10354e-05	7.23105e-06	0.000108318	0	3.61884e-05	6.23007e-06	0.000362404	1.89135e-05	2.43341e-05	0.00495372	6.637e-06	0	6.30412e-07	0.000217178	1.70825e-06	5.31786e-05	0.000657821	0	0	1.26702e-05	0.000657821	0	0	3.45676e-06	0	0	0	0	0.000674169	0.00396868	0	0	0	0	0	5.07912e-07	0	0	0	0	0	0	0	0	0.000197346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000136592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
