	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94	d0_95	d0_96	d0_97	d0_98	d0_99	d0_100	d0_101
d1_0	0	0.132905	0.0323609	0.0165095	0.00753413	0.00483861	0.00883612	0.0129819	0.0174015	0.00571495	0.00926749	0.00598018	0.00163546	0.00179733	0.00094627	0.000316534	0.00116723	0.00607772	0.000272319	0.0101028	0.000875053	0.00128282	7.19438e-05	0.000734128	0.00226472	0.00127934	0.0011203	5.99586e-05	0.00160068	0.000938491	6.89953e-05	2.80075e-05	0.00103597	0.00164711	1.40735e-05	0.000560358	0.000696526	2.94178e-05	1.02061e-05	2.70288e-05	0	0.00120929	0	0.00507674	3.86068e-05	0	4.91462e-06	4.63261e-07	0.00485851	0.00388541	0.000239869	0	0	0.00505669	0.000644884	0	2.69728e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_1	0.0774213	0.00102843	8.21148e-06	1.64521e-05	4.39775e-05	1.56082e-05	3.80909e-05	1.47599e-05	4.66724e-07	0.00489007	0.000547556	1.02862e-05	0.000328646	3.23691e-05	0.000286424	0.000351014	1.60369e-05	1.51915e-05	9.21071e-06	0.00033723	2.18788e-08	2.8103e-05	1.07907e-05	0	9.71281e-06	4.85588e-06	0	0	0.0038987	0	0	4.88724e-06	2.31686e-05	0	0	0	0	0	8.20587e-07	0	0	2.95995e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_2	0.0196499	1.01253e-05	4.53163e-05	4.23605e-05	0.00037431	0.000564081	2.24215e-06	1.20304e-05	2.8127e-05	0.00120457	0.000650669	1.62933e-05	0	0.000810583	0.00121845	2.15566e-06	9.98494e-06	1.3422e-05	0	5.89953e-06	2.60657e-05	0.00101423	0	0.00550705	2.3262e-05	0	2.21152e-05	1.35548e-05	1.18452e-05	0	0.000661655	0.000977873	0	0	0.00100059	4.17553e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00451419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_3	0.0149543	2.8619e-05	3.10979e-06	0.0007025	5.95054e-05	3.23661e-05	5.02716e-05	0.000676993	5.01158e-06	0	1.21542e-06	0.000227212	4.92513e-05	5.56201e-07	1.5643e-05	2.07566e-05	1.47373e-05	2.31884e-05	0	9.50544e-06	2.10995e-05	4.08774e-06	0.000651588	0	1.50973e-05	0.00538492	0.00451419	0.00390094	0	0	3.71102e-07	0.000322442	0.000220184	0	7.62136e-06	0	0	0	0	3.75984e-06	0	0.000328929	0.000648545	1.41649e-05	0	0.000970037	0	0	2.06145e-05	0	0	0	0	0	0	0	0	0	2.28361e-05	0	0	0	0	0.00485455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_4	0.00412253	4.43212e-05	0.000700337	1.62964e-05	0.00016459	3.06033e-05	5.18765e-05	1.15595e-05	0.000493223	0.001334	0.000351778	3.52252e-05	0.00474958	0.00501926	2.23851e-05	0.00120026	5.94224e-06	2.38959e-05	1.22851e-05	0.000646866	1.92116e-06	2.33117e-05	2.60508e-05	0.00119273	0	0	0	0	2.00068e-05	5.88851e-06	1.15675e-05	0	6.84465e-06	0.000202098	0	9.02143e-07	0	0	0	0.000644884	5.99256e-06	0	0	0	2.60824e-05	0.00452964	1.77615e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13494e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_5	0.00362191	2.92216e-05	0.00484389	2.95236e-05	1.01846e-05	0.000243536	0.00486852	1.99864e-05	1.19274e-05	2.33435e-06	0.00119665	1.03986e-05	0	0	5.35388e-06	1.63512e-05	0.000353704	2.15951e-06	0.000504521	0	2.27075e-06	0	0.00542494	8.87565e-06	1.24026e-07	1.34491e-06	6.74859e-06	0	0	0	0	7.2913e-06	1.60566e-05	3.07115e-07	0	0	3.87422e-06	0.00484245	0	0	0	0	0	0	0	0.000343586	1.6175e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000644884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_6	0.00474059	0.00068767	2.2491e-05	6.53058e-06	0.00453032	2.69151e-05	1.0907e-05	2.37197e-06	0	0.000538108	3.95127e-06	0.00453926	4.92707e-06	0.000355663	0	1.27349e-05	1.97997e-05	5.50865e-06	7.05665e-06	0	2.61411e-05	0	0	3.4809e-07	0	0.00506507	0	0	0	1.52062e-05	0	4.11827e-06	6.83754e-06	1.51321e-05	0	0.00116989	0	0	0	5.05955e-06	0	0	0	0	7.971e-06	0	0	0	0	0.000156186	0	0	0	0	0	0	0	5.38672e-06	0	0	0	0.000203767	0	0	0	0	0	0.00116484	0	0	0	0	0	0	0	0	0.00451419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_7	0.00360667	1.5091e-06	2.79986e-06	0.00511131	2.4185e-05	1.04722e-05	0.00488679	3.63454e-06	1.56103e-06	3.74332e-06	9.1534e-06	0.000662755	0.00118158	0	1.21827e-05	8.46914e-06	0	1.15358e-05	0.000222161	0	3.06096e-05	3.99871e-05	0	0	5.34228e-06	4.65631e-06	1.06076e-05	0	0	1.41533e-07	2.96025e-06	1.37687e-05	0.000352218	0.000861938	7.45846e-06	0	0	0.000644884	0	0	0	0	0	0	1.49495e-07	0	0	1.43438e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000338992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_8	0.00101029	1.26926e-05	2.781e-05	7.14095e-06	9.72534e-06	0.00100503	6.96285e-06	0.00057113	2.30721e-05	1.39239e-05	1.27876e-05	3.93166e-07	1.40702e-06	1.01742e-05	9.37942e-07	0	0	0	0	7.42392e-06	8.81617e-06	1.81956e-05	1.8574e-05	0	0	1.05289e-05	0	0	0	4.49766e-07	0	0	1.14889e-05	0	0	0	1.1137e-05	0	0	0.00097487	0	0	0	0	0	6.07947e-06	0	0	0.0051843	0	7.51926e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_9	0.00113223	1.35806e-05	0.000679553	0.000686547	2.51518e-05	2.00913e-05	4.04194e-06	3.5067e-05	3.98572e-05	5.47577e-06	5.02073e-05	1.61722e-05	7.24039e-05	4.613e-05	0	0.00454708	2.23192e-05	2.80154e-07	2.03063e-07	0.000645528	0.00101122	1.59456e-05	1.57768e-05	1.26051e-05	0.000662998	0.000998162	0.000532682	0	2.08784e-05	0	2.10476e-06	2.61581e-05	0	0	6.065e-07	0.000984359	0.00118631	0	0	0	0	0	0	0	0	0	8.61446e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00116763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
