	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94	d0_95	d0_96	d0_97	d0_98	d0_99	d0_100	d0_101
d2_0	0	0.132638	0.0322645	0.0115935	0.00790374	0.00477502	0.0136758	0.0129213	0.0173443	0.00534024	0.00886295	0.00615328	0.00125203	0.00180242	0.000994918	0.000312853	0.000794278	0.00608119	0.000261876	0.00504058	0.000888348	0.00191482	6.26312e-05	0.00217057	0.00193474	0.00191826	0.00109164	3.89839e-05	0.00158704	0.000590307	0.000728818	0.000346207	3.36024e-05	0.000999713	0.000996886	0.000555513	0.000683139	0.00485526	1.01805e-05	2.08248e-05	0	4.86963e-06	0	0.005064	3.851e-05	0.00451827	3.54737e-06	4.62099e-07	0.00484632	0.00387567	0.000239267	0	0	0.00504401	0.000643266	0	0	0	0	0	0	0	0	0	0	0	0	0.00450286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0604169	9.23841e-07	2.37455e-05	4.78873e-05	1.60366e-05	5.50045e-05	2.37407e-05	2.46269e-05	5.90367e-06	0	1.53315e-05	3.56967e-05	8.91301e-06	0	0	2.15025e-06	0.000345808	2.93565e-05	3.59467e-06	9.48159e-06	1.96308e-06	2.46385e-07	0.000374431	0.000540866	4.57798e-06	0	2.20598e-05	0	1.43518e-05	1.51681e-05	0	0	9.58219e-06	0	0	3.43947e-06	1.16399e-05	0	0	6.13613e-06	0	0	0	0	0	0	1.35492e-06	0	0	0	0	0	0	0	0	0	1.01759e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0224476	1.09393e-05	8.04981e-06	3.16531e-05	3.04812e-05	5.46947e-05	3.01598e-06	0	3.58755e-05	0	0.000349817	1.27401e-06	0.000573388	0	1.1321e-05	0.0012035	0	1.35603e-05	1.21752e-05	0.00451142	4.63614e-05	0	0	0	3.34679e-05	0	1.06396e-06	3.43451e-05	8.28547e-06	0	1.15385e-05	0.000983938	0	3.06345e-07	0	0.000971085	0	1.04904e-05	0	0	0	0.000225336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68949e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0111033	0.000693067	0.000696459	2.11295e-05	0.000162549	0.000236984	4.1332e-05	2.61437e-05	1.76532e-06	0.000375903	1.47709e-05	3.27042e-06	0	1.07919e-05	3.0304e-05	8.79781e-06	0.000362216	1.11335e-06	0	2.32035e-05	1.30123e-05	3.70439e-05	9.20912e-06	0	0	4.8437e-06	0	0	0	0	0	0	2.2484e-05	1.75375e-06	1.52325e-05	7.46582e-06	3.8645e-06	0.00034387	0	0	0	2.95252e-06	0	0	1.91869e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.0107493	3.55508e-05	1.62073e-05	5.80059e-06	2.84897e-05	1.56669e-05	4.01993e-05	0.00100461	1.02521e-05	8.43355e-06	5.77056e-06	2.1919e-05	2.01992e-05	0.00106572	0	0	6.65048e-06	1.48678e-05	0.000350575	0.000530118	6.6811e-06	2.36712e-05	0	0.00469584	8.75379e-07	0	0	0	0.00388916	6.01492e-06	0	0	2.04184e-05	0	0	4.16506e-06	0	0	0	0.000972425	0	0	0	0	0.000643266	0.000967604	0	0	0.00450286	0	0	0	0	0	0	0	0	0.000342344	0	0	0	0	0	0	7.0869e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.0114641	3.52147e-05	7.64922e-06	9.74284e-06	1.16644e-05	0.00100196	5.00405e-06	8.67801e-06	1.70525e-05	2.63009e-05	7.14919e-06	0.000652408	1.55797e-05	1.31399e-05	0.000205868	4.70216e-07	1.02114e-05	1.75494e-06	0	0.000140217	1.00935e-05	3.48254e-06	0	0	1.45349e-05	3.63484e-07	2.23402e-06	0	0	3.31852e-06	0	1.13383e-06	0.000996749	0	0	0	0	0	0	0	0.00450286	0	0	0	0	0.000342724	1.7717e-06	0.00450286	0	0	0	0	0	0	0	0	0	0	0	0	0	2.12958e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00652757	3.19675e-05	1.23748e-05	0.00990302	0.00450774	3.43777e-05	4.19468e-05	1.31709e-05	0.000149883	0.0048533	0.000710396	2.47295e-06	9.15557e-06	2.42131e-05	1.01978e-06	0.000360504	0	0	0.000153156	1.10505e-05	1.31222e-05	3.83111e-06	0	3.8426e-06	1.82315e-06	0.00954988	3.92454e-05	7.01751e-07	0	0	4.36084e-07	0	0	0	0	0	0	0	0	0	0	6.47051e-06	0	0	0	0	0	0	2.05628e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00288936	0.00053683	6.28316e-06	0.000675368	1.74526e-05	0.000382368	2.76367e-05	4.81057e-06	0.000649949	1.87547e-06	3.38625e-05	1.95881e-05	1.53989e-05	2.52029e-06	1.60295e-05	0	1.83371e-05	0	1.49091e-05	2.55639e-06	2.40226e-06	3.455e-06	0.000687146	2.58983e-05	0	0	0	0	1.97196e-05	0	0	0	1.35283e-05	0	0	0	0	0	8.18529e-07	0	0	0.000321633	0.000646919	5.44289e-06	7.951e-06	0	0.00074246	0	0	0	0	0	0	0	0.00450286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000327119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.00156444	4.90983e-06	2.32875e-06	5.326e-06	2.53518e-05	1.99925e-05	2.31272e-05	0	0.000323142	0	7.94506e-07	1.96508e-06	0.00466684	0.000573924	3.04172e-06	6.73582e-06	0	2.46525e-06	0	0	0.000356089	9.4723e-06	0	3.47217e-07	1.2856e-05	0	0	0.00389046	0	8.02787e-06	2.03357e-06	4.10794e-06	1.36479e-05	0	1.24881e-05	0.00098189	0	0.000648578	0	3.75041e-06	0	0	0	8.68647e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00484237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.00153859	0.0010471	0	4.99352e-06	3.41948e-05	1.37489e-05	9.26448e-06	2.47746e-05	1.50897e-05	8.15708e-06	5.7561e-05	0.00100458	2.18902e-05	2.38735e-05	0	0	0	0	0	6.42483e-07	7.1655e-06	1.52985e-05	2.32428e-05	8.55743e-06	0	0.000670017	0	0.00452055	0	0.000205053	0	0	0	0	0	0.00116695	0	0	0.000338167	0	0.000670177	0	0.000537847	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000643266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
