	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_0	0	0.0869487	0.0302762	0.00946133	0.00995209	0.00734533	0.00149179	0.00653481	0.000241545	0.000111104	0.000145867	5.75191e-05	4.6885e-05	3.48796e-05	6.8077e-06	5.13023e-05	8.60247e-06	1.07531e-06	0	0	0	4.30123e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0734875	0.0007001	0.000659445	0.000486757	0.000324769	0.00108842	0.0001856	0.000137038	5.17507e-05	4.65914e-05	1.72049e-05	6.91668e-05	1.38234e-05	3.89302e-05	0	1.18284e-05	2.19139e-05	1.43374e-06	0	0	0	2.31745e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0320509	0.000955115	0.00174321	0.000367168	0.00227695	0.00010053	0.000105823	0.000120025	4.81133e-05	8.50022e-05	9.54022e-05	3.07152e-05	7.65622e-05	0.00127124	4.82285e-05	0	0	0	4.05106e-05	0	0	7.51434e-07	1.85003e-05	0	2.15062e-06	0	1.41145e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0123815	0.000568276	0.000435392	0.00024641	0.00132858	0.000493602	0.000973504	0.000123963	0.000549314	7.44341e-05	6.67377e-05	0.000491365	1.61296e-05	5.01811e-06	2.10456e-06	1.93556e-05	5.01811e-06	0	5.07071e-06	2.60104e-05	4.30123e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.00646214	0.0113112	0.00661705	0.00148996	0.000621181	0.000603113	0.000553821	7.33992e-05	0.00689124	1.81121e-06	0.00012755	4.05766e-05	2.15062e-06	6.33581e-05	2.19967e-05	0.00125319	0	2.22475e-05	0	0	0.0012373	0	0	0	0	0	1.47216e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.00516476	0.000735176	0.00033275	0.00679286	0.000189616	0.000549809	0.000377901	0.00252112	0.0013236	0.000351627	0.00568334	4.21766e-05	0.000191614	2.28714e-05	6.09342e-06	0.00561705	5.73498e-06	0	2.15062e-06	8.24403e-06	1.21435e-05	0	0	6.07855e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00788627	0.00626341	0.000137257	0.00728409	0.000401023	0.000304271	0.013473	0.0078571	2.63473e-05	9.17105e-05	5.4854e-05	3.62167e-05	3.00872e-05	0.000870264	8.92848e-06	1.56637e-05	0	0.000483972	0	0	2.86749e-06	0	0	7.2602e-06	0	1.52116e-05	0.000851232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00114861	0.000301286	6.97089e-05	0.00299571	0.000201001	4.1937e-05	5.54309e-05	7.0201e-05	9.15265e-05	6.01051e-05	0.00249402	0.000695896	0.000450017	0.00659549	0.000429502	1.1084e-05	0	1.27e-05	0	0	8.50458e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.000966316	0.000169888	0.000781918	0.0110855	0.00619167	4.38258e-05	7.98071e-05	4.33286e-05	1.91193e-05	0.00126268	3.53547e-05	0.000443525	0.000829564	1.78141e-05	1.03615e-05	0.000449471	3.42797e-06	7.16872e-07	7.16872e-07	1.07531e-06	2.30832e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.000564391	0.00134313	0.000140565	9.80463e-05	0.000131412	0.000768151	0.00149668	6.91445e-05	1.98205e-05	0.000951279	0.00650196	1.32621e-05	0.00154065	1.03946e-05	0.000272366	0.00171707	0	4.8007e-07	0	2.86749e-06	0	7.03107e-06	4.55054e-06	3.50269e-05	0	0	1.51828e-05	0	0	0	0	1.4633e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_10	0.00019012	4.556e-05	0.000527642	4.62479e-05	0.00252292	3.17892e-05	5.65492e-05	8.13511e-05	6.13157e-05	0.000486246	3.98779e-05	0.000485676	4.0799e-05	3.88633e-05	0.00150122	4.75301e-05	3.05399e-05	7.55701e-06	2.86749e-06	1.06887e-05	0	4.60693e-06	0.00710432	0	1.66809e-05	0	0	0	0.00120807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_11	0.000271123	7.44171e-05	0.00160539	2.86749e-05	3.11839e-05	4.78274e-05	0.000238217	0.000357366	3.57761e-05	1.51692e-05	0.000284974	2.5442e-05	3.06039e-05	1.20311e-05	0.00041514	7.16872e-07	0.00562815	7.73575e-06	0	1.59806e-05	1.60616e-05	2.50905e-06	0	3.58436e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
