	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94	d0_95	d0_96	d0_97	d0_98	d0_99	d0_100	d0_101
d2_0	0	0.156838	0.0378607	0.0247128	0.0124169	0.00400007	0.0107095	0.00951701	0.00743607	0.00634378	0.0028286	0.0111533	0.00069041	0.00966417	0.00650729	0.00159463	0.0104401	0.0007974	0.00463591	0.00122786	0.0010684	0.0102722	0.00010249	0.005137	1.95605e-05	0.000102555	0.00114733	0.000751425	4.21715e-05	4.24279e-05	0.00532201	5.04571e-05	0.00354561	5.51499e-06	2.48969e-05	0.000264971	0.00248064	3.84421e-05	4.66167e-05	2.09402e-05	1.34141e-05	2.50705e-05	1.02949e-05	0	1.3096e-05	2.32893e-06	0	3.17073e-05	0	0.000361632	0	0.000371933	0	1.13011e-05	0	0	0.00100969	0	0	8.68928e-06	4.55605e-06	0	0	0	7.51113e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0602834	1.83712e-05	3.83447e-05	0.000393023	0.000359096	0.00408291	2.52431e-07	2.88204e-05	4.99056e-05	5.73242e-06	2.65238e-05	1.21231e-05	9.12945e-06	1.69346e-05	6.68337e-06	0.00507045	2.97888e-05	0	0	9.21699e-06	6.0723e-07	1.63863e-05	2.18633e-05	3.35717e-05	0	4.92365e-06	8.38449e-06	1.46393e-05	1.00443e-05	0	0	0	0	0	0	0	1.89025e-06	0	0	0.000697736	0	0	0	0	0	2.70557e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000223255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0270553	9.70665e-06	8.9671e-06	1.22852e-07	1.74025e-05	3.48227e-05	0.00508619	1.67114e-05	9.9246e-06	1.21337e-05	0.00477602	0	2.38444e-05	5.3612e-06	1.21037e-06	1.5781e-05	0.000239196	1.27438e-05	2.00759e-06	2.78516e-05	0	2.94294e-05	7.8203e-06	0	5.36035e-06	0	0	7.39979e-06	0	2.28586e-07	9.41788e-07	0	4.16913e-06	3.46039e-06	2.93142e-05	0	0	3.75308e-06	0	1.30552e-05	0	0	0	0	1.24089e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00407521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0108264	2.52281e-05	1.69734e-05	0.000351132	1.10166e-05	5.50425e-06	4.76739e-05	4.06767e-05	5.25168e-06	3.87366e-06	7.39693e-07	5.41907e-07	0.00105081	0.00142477	1.46597e-05	8.19404e-06	0.000360828	0.000573818	1.52279e-06	8.57906e-07	2.23643e-06	3.60078e-06	1.37721e-05	0.00471187	2.1768e-05	0.00121893	7.67593e-06	1.06113e-06	0	0	0	5.67232e-07	0	0	0	0	0	0	0	0	0	0	1.61352e-05	0.000698861	0	0	8.49979e-06	0	0	0	0.00577705	0	0	0	0	0	0	0.00471187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.00644564	1.94775e-05	0.00105051	3.92656e-05	3.51325e-05	7.01677e-08	2.64633e-06	3.55452e-05	0.0057602	4.92156e-06	0.000688924	8.9843e-06	1.82526e-05	1.37054e-05	1.93703e-06	7.90576e-06	7.42117e-06	1.36982e-05	0.000236571	9.0693e-06	0.000369366	1.34225e-05	1.21136e-05	0	0	8.81295e-06	0	0	0	0	1.68971e-06	0	0	0	0.000680464	0	0.00103424	1.15972e-05	0	0	0	0	0.000356896	7.52763e-06	0.000695924	0	0	0	0.000679133	0	0	0	0	0	0	0	0	0	0	0.000673124	0	0.00505746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.00573884	3.0132e-05	1.95441e-05	9.92296e-06	5.55299e-06	1.88683e-06	1.95372e-05	2.73267e-05	0	6.92461e-07	0	1.2979e-05	0.000388909	0.000372739	0	1.9907e-05	5.46597e-05	1.55288e-06	3.30547e-05	7.61528e-06	0	2.05122e-06	0	0	0	0.0050544	0	0	0	0	0.000679586	0.00103757	0	2.60224e-07	0	0	1.71627e-05	1.02403e-06	0	0	0	6.8764e-06	0	2.44112e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3503e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00320316	4.94639e-05	5.73307e-05	1.66071e-05	0.000688407	6.76155e-07	1.85827e-06	1.48037e-05	6.46511e-06	1.01298e-05	3.23879e-06	2.5077e-05	0	9.66936e-06	1.46305e-06	1.61285e-05	8.19936e-06	1.97708e-05	3.79075e-06	6.97403e-06	2.85537e-06	0.000367358	2.55656e-05	0	3.72761e-06	0	2.24682e-06	3.59891e-06	6.1267e-06	0	0	0	0	2.01297e-05	0	2.33004e-06	0.000352961	0	0	0	0.00102879	0	0	0	0	0	0.000673124	0	0	0	0	0	0	0	0	0.00121397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00273733	2.66926e-05	2.24501e-05	0.000683719	1.1474e-06	1.79619e-05	0.00529848	0.00475011	3.81922e-06	0.000693196	5.14892e-06	4.04074e-05	2.0008e-06	7.96427e-06	0.00102794	3.40731e-06	5.90074e-06	1.27725e-05	0.000572484	0	0	1.13578e-06	7.79404e-07	3.23716e-06	0	0	9.48297e-06	0.000365726	0	0	2.0205e-05	5.38658e-06	1.43226e-05	5.9838e-06	2.66945e-05	0	0	0.000215264	0	0	0	0	0.00471187	0	0	0	0	0	0	0	0	0	0	5.17499e-06	0	0	0	0.000697953	0	0	0	0	8.00801e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.00658135	1.44352e-05	1.24117e-06	1.77845e-05	6.65087e-06	0	0	2.37623e-05	3.8879e-06	1.07761e-05	0	1.8452e-05	0	3.25071e-06	0	0	0	0	0	0	1.5658e-06	0	0	0	0	0	0	1.31193e-06	0	0	0	7.28872e-07	0	2.18101e-05	0	0	0	0	0	0	0	0	0	0	6.33244e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.00114879	1.28318e-05	4.34128e-05	0.000364405	3.90035e-07	0	7.14125e-07	2.53631e-05	3.74192e-05	0.000402234	0	0.000240958	0	0	2.35482e-06	1.35326e-06	0.00016868	1.02908e-05	0	9.30511e-07	0	7.20864e-06	3.7971e-06	1.15051e-05	0	0.00508421	0	0.00526902	0	0	1.29507e-05	0	0	0.000230394	1.7034e-05	0	0	0	0	0	6.74513e-06	1.25177e-07	0	8.55775e-06	0	0	0.000355347	0	0	0	0	0	0	0	0	0	0	1.02398e-05	0.00100969	0	0	0	0	0	0	0	0	0.000673124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_10	0.00142949	1.76384e-05	0.000377489	1.50214e-05	4.44756e-05	0	1.16323e-05	1.62679e-05	4.04348e-05	6.75564e-06	1.56014e-05	6.9435e-06	2.97738e-05	1.20934e-05	0	7.55753e-06	0	0.000702882	0	6.4561e-08	0	0	0.000553239	1.52654e-05	0	9.9335e-07	0	3.25659e-06	4.5769e-06	8.34424e-06	0	0	0	0	8.04301e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000673124	0	0.00504843	8.99846e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_11	0.00568192	1.78578e-05	1.55538e-05	0	1.78934e-06	1.00753e-05	2.74299e-06	0	2.64073e-05	6.38792e-06	3.76726e-05	1.05255e-05	1.12483e-05	0	6.47015e-06	0	0	0	7.88985e-06	0	0	0.000568149	4.84588e-06	0	0.000210888	0	0	0	0	0	0	8.2449e-06	0	0.00405664	0	3.01552e-06	9.96053e-06	0	0	0	0	3.06144e-06	0	0	0	0	0	0	0	0.000336562	0	0.000361114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00472539	0	0	0	0	0	0	0	0	0	0
d2_12	0.000674692	4.36378e-05	5.4107e-05	2.91329e-05	2.52522e-05	8.78112e-06	1.14679e-05	7.27368e-05	3.34225e-06	6.3112e-06	1.16251e-05	9.39624e-07	0	2.22772e-06	1.19176e-05	1.72581e-05	1.18231e-06	3.54811e-06	0	0	2.00478e-06	3.12464e-05	0	0.00473031	0	0	0.00528568	0	0	0	0	0	0	3.65401e-06	1.21341e-05	0	0	1.50124e-05	0	0	0	1.38218e-07	0	7.77631e-06	0	0	0	0.000677316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00472513	0	0	0	2.77811e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_13	0.0054514	1.26304e-05	3.88963e-05	1.39351e-06	6.71455e-06	8.75174e-06	3.96556e-05	0	1.45128e-06	0	3.33797e-06	2.1586e-06	0	6.44069e-06	0.000339778	0.00574334	1.19253e-05	0.000371265	0.00105338	0	0.000700783	0	0.00574064	5.59052e-06	0.000374876	0	0	3.32562e-06	0	0.00102127	0	0	0	2.05409e-05	0	0	0	9.46009e-06	0	0	0	0	0	0	0	0	0	1.01731e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_14	0.00107303	4.71453e-06	0.00528826	1.74564e-06	2.06098e-05	3.22475e-05	1.94245e-06	4.71548e-05	2.00974e-06	0.000676139	1.48384e-06	2.07152e-06	0	1.96841e-05	0	0	0.00122946	7.72273e-06	0	0	0	0.000692354	1.04463e-05	0	0	0.00034043	0	0	1.3683e-05	0.000337381	0.00102106	0	0	0	0	0	0.000683839	0	0	0	0	0.00103554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_15	0.00160763	5.47023e-05	0.000717224	1.33376e-05	1.24206e-06	0	4.27013e-07	2.04665e-06	0	0	0	6.9831e-06	0	6.90392e-07	0.000381197	0	0	4.64722e-06	0.000713101	0	0	0	0	6.19937e-06	0	0	0	0	0	1.03202e-05	0	0.000700632	2.85558e-06	0	0	0	3.77047e-05	0	0	0	0	0	0	0	0	2.09364e-05	0.00055134	1.62844e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000349127	0	0.000347917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_16	0.000731233	1.93609e-05	0.000738141	8.07031e-06	1.11596e-05	0	0.00140298	7.49922e-07	0.000229718	0	8.4824e-06	0.000356326	7.71869e-06	3.04986e-06	2.78632e-06	1.44524e-05	0	0	0	0	0.000372877	0	0.000336562	0	0	0	0	1.52447e-05	0	0.000234471	0	0	0	0.0010433	0	0	0	0	0	3.24774e-06	0	0	0.000227496	0	0	0	0	0	0	0	4.78968e-06	0.000336562	2.0051e-06	0	0	0	0	3.78509e-06	0	0	0	0	0	2.91171e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_17	0.00544937	1.09376e-05	4.28741e-06	9.27037e-06	1.02519e-06	2.54488e-05	0.00104944	1.35383e-05	0	1.08274e-06	4.09253e-08	6.11588e-06	2.06026e-06	7.43044e-06	1.78694e-06	0	0.000691202	0	0.000676438	2.20468e-06	0.00507941	0	0	8.09678e-06	1.73245e-05	2.62194e-06	0	0	2.23442e-06	0	0	9.89312e-07	0	0	0	0	0	2.36949e-05	0	6.62463e-07	0	0	1.45841e-06	0	0	0	0	0	0	0	0	0	0	0.00471187	0	0	0	6.92989e-06	0	0	0	0	0	0	0	0	0	0	1.1057e-05	0	0.00471927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_18	0.000236394	3.20447e-06	2.71456e-06	0	8.38485e-06	0	2.30487e-05	6.76132e-06	1.10649e-06	5.03144e-06	5.81137e-06	0.000243497	2.06609e-06	6.05611e-06	0.000229466	0.00102341	0	0	0	0	0	2.07807e-05	1.32531e-06	0	0.00103442	0	0	1.27928e-05	1.51357e-05	0.00504843	0	0.000336562	0	0	0	0	0	0	0	0	0	4.22473e-06	0	7.76527e-06	0.000693126	0	0	0	0	0	2.82542e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_19	0.000141978	0	9.73813e-06	0	2.33618e-06	0.000685328	1.73014e-05	2.3568e-06	0.000570654	0	2.59399e-05	5.63976e-06	0	0	8.02049e-06	0	0.000703362	3.44449e-06	0	0	8.7318e-06	2.87079e-05	0	0	0	9.12144e-06	0.000356144	7.42904e-06	0.000365127	0	6.81313e-06	0	0	1.84969e-06	0	0	0	0	0	0	1.01433e-06	0	0	1.31906e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00103298	0	0	0	0	0	0	8.61885e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_20	0.000539084	0	0	3.42556e-06	8.02031e-07	1.2412e-05	6.40228e-07	1.10808e-07	0	3.29755e-06	0.00124915	0	0	1.14832e-06	0.000349471	1.90484e-05	0	0	0	0.000233237	0	0	6.29484e-06	3.90985e-06	0	0	3.21392e-05	0	0	0	0	3.07202e-06	0	0	0	0	0	0.0010407	0	6.68105e-06	1.07362e-05	7.64521e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12747e-05	1.2881e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_21	0.00575952	1.17211e-05	8.36111e-07	0	1.81875e-05	1.63952e-06	1.51228e-05	9.61627e-06	0	0	0	0	0	0	0	0	0	0	1.33213e-05	2.68848e-06	0	1.35312e-06	0	0.000673124	0	2.26643e-06	0	0	0	0	0.0010114	0	0	0	0	0	0	0	0	0	0	0	3.05432e-05	0	0.000674836	0	0	0	0	0	0	0	0	0	0	0	0	6.9408e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.25321e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_22	0.000113159	8.64531e-06	0	6.05918e-06	0	0	8.75047e-06	0	1.27002e-05	1.32576e-07	2.71328e-05	0	9.59914e-06	8.70004e-06	0	1.59705e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000693601	1.31024e-05	0	7.97292e-06	0	2.96654e-06	4.33077e-06	0	5.26089e-06	2.2479e-06	0	0	0	0	0	0	1.86493e-05	0	0	0	0	0	0	0	5.06267e-06	0	0.0010196	0	0.00103419	0	0	0	0	0	0	0	0	0	0.00102266	0	0	0	2.17492e-06	0	0	0	0	0	0	0	0	0	1.78877e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_23	0.000113748	3.37346e-05	1.25899e-05	0.000230986	1.683e-06	1.5253e-05	0	2.34474e-06	0	0	0	3.855e-06	0	0	1.89371e-06	0	0	0	0	0	0	4.09059e-06	0	0	0.000363642	0	0.000369996	0	0	0	0	2.89567e-05	0.000681704	0	0	2.71416e-06	0	0	0.000336562	0	0	0	1.70353e-05	0	0	0	0	0	0	0.000673124	0	0	5.27164e-07	0	0	0	0	0	0	0	0.000673124	0	0	0	0.000218925	0	0.00100969	0	0	0	0.000554305	0	0	0	0	0	0	0	0	2.04652e-05	0	2.18566e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_24	5.24244e-05	1.55626e-06	4.17122e-06	0	0	6.96498e-07	0	2.77102e-06	0	0	3.11429e-06	1.324e-06	0	0	0.000350662	0	0	0	0	0	7.51925e-06	2.57769e-06	0	0	0	0.000673124	0.000673124	0	0	0.000673124	0	0	0	0	0	0	0	2.60456e-06	0	0	1.24492e-05	0	0	0	1.679e-06	0	0	0	8.78568e-06	0	0	0.000564199	0	0	0	1.15576e-06	0	0	0	0	0	0.000673124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
