	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_0	0	0.0921556	0.021937	0.00931959	0.00319891	0.00346307	0.000998145	0.00391252	0.000469712	0.000446356	0.000159963	7.58063e-05	8.94607e-05	4.00088e-05	2.95383e-05	1.67909e-05	0.00150863	7.60331e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0658804	0.000609352	0.00133451	0.000345811	0.00749982	0.00134197	0.000165918	5.05423e-05	0.000612333	0.00645253	8.54236e-06	1.35254e-05	0	3.55932e-06	0.000808732	1.06823e-05	4.66732e-06	1.90352e-05	0	1.70847e-05	0	0	0	0	0.000185424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0226952	0.000490894	0.00661993	0.000641207	0.00626258	0.00724394	9.48961e-05	0.000136278	3.34126e-05	3.65612e-05	1.74407e-05	5.5231e-05	4.02184e-06	0	1.54228e-05	0	0	0	0	2.84745e-06	2.84745e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0263471	0.000334372	0.000267229	0.000971763	0.000237165	0.000136122	0.000162126	0.00131184	0.0015311	2.312e-05	3.45173e-05	2.20459e-05	5.71698e-05	3.91525e-06	3.96881e-06	0.00600663	0	0	0	9.6727e-06	2.22167e-06	0	0	0	0	0	2.36344e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.00634751	0.000284406	0.000333624	0.000163972	0.00084584	0.000125239	0.000106256	0.0015451	7.88504e-05	0.00130696	1.97715e-05	1.1162e-05	2.30212e-05	2.66949e-05	1.62215e-05	7.11864e-07	4.27569e-05	2.13559e-06	7.11864e-07	0	1.42373e-06	7.78236e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.0042593	0.0121732	0.000272541	0.00270561	9.7028e-05	0.00730222	8.66633e-05	0.00630613	8.66732e-05	0.000701018	1.55867e-05	2.18814e-05	3.98818e-05	3.15193e-05	8.18643e-06	1.77966e-06	0.000682724	0	7.41728e-06	9.91812e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.0141488	0.000190822	0.000119043	0.000139453	0.0019108	0.000128662	0.000104818	4.69275e-05	0.00158772	2.89917e-05	0.00157593	2.29112e-05	7.11864e-07	0	5.60912e-06	0	3.90274e-05	1.73221e-05	1.42373e-06	0	0	0	0	0	0	2.13559e-06	0	0	0	0	0	0	6.77155e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00745289	0.000164178	0.000163214	0.000467274	0.000133238	8.62549e-05	0.000113419	7.08702e-05	0.00239534	0.000481883	0.00566648	0.000454948	3.55932e-06	6.36408e-05	5.76589e-05	2.95979e-05	0.000442872	2.49152e-06	1.42373e-06	0.0055944	0	0	0	0	0.00119845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.00235603	0.000816439	5.11554e-05	0.00728959	0.00858307	0.000167008	9.90899e-05	2.46898e-05	0.00125863	4.05675e-05	3.51601e-05	0.00252319	4.25356e-05	0.0014754	2.65212e-05	4.27118e-06	6.62756e-05	0	0	1.24171e-05	0	0	1.54432e-06	0.000412935	7.22307e-07	0.000796168	7.11864e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.000701274	0.0013231	0.000116344	0.000126017	0.00130244	0.00129431	5.91208e-05	8.44288e-05	0.000208267	0.000444622	3.93019e-05	4.98305e-06	1.32225e-05	5.08096e-05	0.000461615	0.00629739	1.21017e-05	0.00122443	5.34405e-06	0	5.14487e-05	7.96813e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
