	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_0	0	0.110554	0.022152	0.0188776	0.00399169	0.00246653	0.000853099	0.000533148	0.000263694	0.000202943	4.33284e-05	4.07393e-05	2.3323e-05	2.449e-05	5.67883e-06	1.41971e-06	1.86808e-05	3.83541e-05	0	7.09854e-07	7.09854e-07	7.86621e-06	2.83941e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0780411	0.00126167	0.00197014	0.000970923	0.0126408	0.000156541	0.00495122	0.000958577	0.00634384	0.000109781	2.50225e-05	8.51824e-06	6.08475e-05	0.000448211	7.09854e-07	1.73514e-05	2.80207e-05	0	0.000452103	0	0	7.09854e-07	0	0	0	2.12956e-06	0	1.06478e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0252719	0.00702077	0.00711842	0.00613623	0.0050146	0.000149982	0.000134441	6.23727e-05	9.29058e-05	0.000777687	6.4222e-05	2.94303e-05	1.45874e-05	4.06484e-05	1.03377e-05	0.00122089	0	0	1.41971e-06	0	7.09854e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0113328	0.00600512	0.00104553	0.000290701	0.000167293	0.000137357	0.000119706	0.000100439	0.000102525	2.30267e-05	0	1.84562e-05	3.22821e-05	0.000492719	7.00363e-06	7.5414e-06	0	0	0	0	0	0	0	2.48449e-06	0	0	0	0	0	0	0	7.09854e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.0078965	0.000298163	0.000193226	0.00252053	0.000129014	0.00134694	0.000418358	0.000102543	3.72252e-05	9.53462e-05	5.01112e-05	7.8425e-05	2.49938e-05	5.0938e-05	4.44175e-05	2.83941e-06	4.85927e-07	0	1.41971e-06	0	1.41971e-06	0	0	0	1.07955e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.00626271	0.00135168	0.000155658	0.000176362	0.00661286	0.000163515	0.000115865	0.00151429	0.00773383	8.51824e-06	2.73294e-05	4.01282e-05	0.000129995	0.00124131	2.7964e-05	3.04455e-05	0	0	0	0	0	2.14218e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.0111586	0.000224698	0.00148693	9.22923e-05	0.000241978	0.000888912	0.000679983	0.000997072	5.98946e-05	0.000879797	0.00631826	0.00227126	2.3407e-05	0.000474784	0.000444609	1.49069e-05	3.83414e-05	2.33945e-05	0	0	0.000450643	0.00597809	0	1.77737e-05	3.54927e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00159438	0.00145239	0.00159268	0.00168759	0.000362965	5.85731e-05	0.00123202	3.01036e-05	5.42998e-05	7.80839e-06	5.82177e-05	2.83941e-06	9.28663e-06	2.37101e-05	1.15693e-05	4.92674e-05	0	0.000429125	0	5.60743e-06	0	0	0	0	0	1.41971e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.00104323	0.00159639	0.000507575	0.00815937	0.000102606	3.78689e-05	0.00573007	0.005705	0.00129942	0.00067483	0.000417764	0.00148558	4.35829e-05	8.73636e-05	0.00559625	1.81701e-05	4.25912e-06	3.35729e-06	0	0.000671979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.000640758	0.00568128	0.000599277	9.07289e-05	0.00159619	4.89423e-05	0.000163176	5.59056e-05	7.09317e-05	4.0289e-05	6.001e-05	4.96898e-06	0.00155682	7.09854e-07	2.96551e-05	1.27774e-05	0	0.00122455	2.48449e-06	1.06298e-05	1.3039e-05	0	3.54927e-06	0	1.41971e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_10	0.00046543	0.000121144	0.000732332	3.13965e-05	4.15645e-05	0.000872773	0.000839537	7.5118e-05	0.000709382	6.22021e-05	9.15129e-06	4.0381e-05	0.000836347	0.00041064	0.000667397	0.0055617	3.19434e-06	9.19442e-06	0.000416368	0	0	0	7.09854e-07	0	0	6.74361e-06	0.000817065	0.000844764	0.0069865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_11	0.000304021	4.56774e-05	0.000492663	0.000303882	6.82465e-05	0.000349581	6.45199e-05	0.00152419	9.42756e-06	0.000474743	0.0119771	1.06478e-06	1.77463e-06	7.39813e-06	0.00150702	1.07972e-05	4.48976e-05	0	2.75362e-05	4.38406e-05	0	0	1.04331e-05	0	5.72793e-06	0	0	0	2.12956e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_12	0.000173689	0.00151313	3.42186e-05	7.05901e-05	8.85356e-05	0.000506517	0.00571153	4.73308e-05	0.00153736	4.71815e-05	0.000432313	0.000695388	0	0.0014498	5.90291e-06	0.000866341	8.16332e-06	0.00239331	2.42631e-05	6.93075e-06	8.49517e-06	0	4.61405e-06	0	0	1.90916e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_13	0.000118668	3.6947e-05	5.74225e-05	0.000118073	0.0024198	9.18899e-06	0.000538431	9.97007e-05	0.000823222	0.00688069	7.1256e-05	2.12956e-06	0.00123307	0.00144693	4.19668e-06	9.91603e-06	5.38585e-05	0	0.00081981	2.11281e-05	0	0	0	0	0	4.75274e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_14	6.12143e-05	5.37769e-05	0.000266435	3.51825e-05	3.62576e-05	2.47813e-05	0.00602974	0.000825099	0.000126141	9.34843e-07	0.0062377	0.00680056	0.00765882	3.98548e-05	2.90836e-05	0.000687399	1.45987e-05	0	4.08921e-07	4.96898e-06	0.00555953	1.12438e-05	0	0	0	1.11694e-05	0	0	2.49854e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_15	5.88301e-05	4.63775e-05	1.97761e-05	5.3239e-06	0.000285936	1.34054e-05	0.00759837	7.182e-05	8.5968e-06	8.53503e-06	4.5641e-05	3.56739e-05	5.28359e-06	0.000876198	3.06196e-05	8.49046e-05	0.0060093	2.65176e-05	2.71363e-05	4.19957e-05	0.00159932	1.07458e-05	7.17532e-06	0	0	0	0	2.9191e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_16	9.37201e-05	2.54983e-05	3.78217e-05	0.00561704	5.32306e-05	5.97842e-05	6.73461e-05	9.05193e-05	2.35197e-05	2.50325e-05	0	3.97057e-06	2.02866e-05	9.93018e-06	0	0.00079392	0.00606374	8.12789e-06	0.00170727	0.00124395	0.000807871	2.83941e-06	0	0	0	2.03023e-05	0	0	7.09854e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
