	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_0	0	0.0858109	0.0289323	0.00817101	0.00881179	0.00166882	0.000974314	0.000391085	0.000201867	0.000117305	0.000124675	7.6706e-05	6.88025e-05	3.97423e-05	1.13774e-05	0	2.15953e-05	8.47851e-07	0	0	1.77026e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0797954	0.00194874	0.00133628	0.000487542	0.00208892	0.000230145	0.000170297	0.0015448	3.67622e-05	5.67037e-05	0.00551069	0.00633293	4.35684e-05	0.00595155	1.08536e-05	7.00234e-07	0	0	0	7.00234e-07	5.60188e-06	0	0	8.38493e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0395508	0.00124966	0.00769862	0.000302213	0.00041407	0.000170798	0.000154246	0.00154304	0.000480348	4.63399e-05	7.36168e-05	2.36581e-05	1.26042e-05	1.45661e-05	2.80094e-06	1.75059e-06	1.40047e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0168635	0.000509103	0.00343088	0.00672556	0.000167703	0.000200933	0.00131373	0.000887517	0.000525219	4.82449e-05	2.59799e-05	1.12038e-05	1.60979e-05	7.70258e-06	3.50117e-06	0	8.40281e-06	0	0	0	3.42506e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.0120467	0.00353392	0.00195078	0.000631232	0.000311829	0.0014164	0.00089588	0.00617946	7.99592e-05	1.26042e-05	2.51074e-05	8.34847e-05	1.12038e-05	9.82745e-05	0.00472005	1.40047e-06	2.39672e-05	3.85129e-06	2.80094e-06	1.40047e-06	6.28318e-06	0	0	0	0	0	0	1.96933e-05	0	1.76994e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.00322994	0.0070247	0.000871931	0.000312733	0.00329676	0.000960017	0.000142653	0.00185175	0.000114148	0.000160892	0.000440062	3.81383e-05	0.000283909	7.00234e-07	0.000430502	2.27454e-05	2.93054e-05	2.9455e-05	0	0	0	5.19537e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00321342	0.0009344	0.00195367	0.000885552	0.00687722	7.65083e-05	0.00175444	0.00122087	0.000563579	7.30217e-05	4.5149e-05	3.86208e-05	3.09408e-05	7.70258e-06	1.22479e-05	0	4.53064e-05	0	0	0	0	0	0	0	0	1.47604e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00107224	0.0124284	0.000185727	0.000176151	0.00014765	9.27819e-05	8.56748e-05	0.00167552	0.000142352	0.000836636	7.67578e-05	2.64154e-05	0.00157291	2.30818e-05	0.00112435	7.28527e-05	5.89243e-05	2.80094e-06	0	2.40078e-05	9.55796e-06	1.05035e-06	2.46509e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.000644883	0.000188324	8.87509e-05	0.000114191	0.000403202	0.000568735	0.000809046	0.000712875	0.00590212	0.00743896	0.0055099	4.08885e-05	0.00172703	3.69737e-05	9.06488e-06	1.95172e-05	1.18709e-05	1.2446e-05	6.62399e-06	1.05035e-06	1.40047e-06	0	0.000421951	0.000671007	0	2.45082e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.000629281	8.97294e-05	0.000119233	0.000140854	0.00651347	0.000152851	0.00149453	5.19744e-05	0.000248163	2.85798e-05	0.000217883	0.001299	0.00566609	4.58785e-05	2.36236e-05	8.40908e-06	0	2.71486e-05	0	0	2.67198e-05	6.30211e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
