	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94	d0_95	d0_96	d0_97	d0_98	d0_99	d0_100	d0_101
d2_0	0	0.136654	0.034512	0.0112519	0.00925615	0.00723775	0.00465753	0.00656369	0.00297041	0.00253147	0.00769501	0.012936	0.0103685	0.00259143	0.00623704	0.0023908	0.00709933	0.00546826	0.00208898	0.000855123	0.00515185	0.00551317	0.00467763	0.00012396	8.0487e-05	0.000467693	0.000681776	0.000726956	0.000561963	0.000241134	7.92065e-05	0.000262721	3.80535e-05	5.00624e-05	2.25385e-05	1.42694e-05	1.6111e-05	0.000367653	2.27844e-05	0.0059635	2.6471e-05	0.00119743	1.29969e-05	0	0	2.54185e-05	0	0.000670102	0.000966293	0	0	6.52849e-06	2.60871e-08	6.05782e-07	0	0	0.00486417	0	0	2.19819e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04444e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0607601	0.000389441	2.52237e-05	0.00488659	0.00485858	1.25116e-05	0.00100299	0.004555	1.2653e-05	1.339e-06	0	1.32719e-05	0.000994136	4.20242e-05	1.28513e-05	0	1.88961e-06	0.00450937	1.46247e-05	4.02857e-06	8.27901e-06	1.04381e-05	0.000355507	0	2.75211e-05	2.36561e-06	2.61876e-06	4.17445e-07	4.37018e-06	3.7141e-05	0	0	0	0.00099431	0	0	0	1.9453e-06	0	1.67139e-06	0	0	0	0	0	0	0	0	0	0	0	7.88696e-06	0	0.000212483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33799e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0221792	4.30199e-06	7.09308e-06	2.88595e-06	1.98364e-05	6.48281e-06	6.01183e-05	2.23238e-05	0	5.18825e-06	3.02272e-05	3.03534e-05	3.16762e-05	0.00119883	0.00012676	1.18947e-05	4.02953e-06	6.56201e-06	3.9315e-05	0.0048632	1.31636e-06	0	0	2.70633e-05	1.47539e-06	1.83593e-07	0	1.40695e-05	1.96178e-06	0.000644195	0.000322098	1.46072e-06	0	0	0	0	0	4.26151e-07	4.45779e-05	0	0	0	0	0	0	0	0.00503354	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000981075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0132046	0.000252285	1.62789e-05	1.28361e-05	2.95257e-05	1.74185e-05	0.000124554	3.53856e-05	2.60531e-05	9.14406e-06	1.29846e-05	0.00392081	1.83016e-06	0	1.73913e-06	7.12599e-06	2.36257e-05	1.65545e-05	9.75813e-06	0.000128839	0	0	0.00119601	2.1038e-05	0.000542327	0.000689044	8.63991e-06	3.23437e-06	0	0.000547733	0.000651488	7.36971e-06	0.000430697	0	3.90961e-06	0	0	2.09766e-05	0	0	0	1.00311e-05	0.000439452	0	0	0.000660601	0	1.03033e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4515e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.0103033	0.000232292	1.16144e-05	5.027e-06	4.26777e-05	1.06139e-05	1.09749e-05	2.26698e-05	0.00100095	5.95624e-06	1.2412e-05	0.000202744	2.53864e-05	7.1782e-06	0	1.19508e-05	2.9291e-05	5.93551e-07	0	0.00454829	1.74639e-05	0	0	0.000337877	7.36203e-06	5.5654e-07	0	1.59285e-05	2.76168e-06	0	1.85619e-05	3.36462e-07	0	0	1.99649e-07	0	1.12986e-05	0	1.71457e-05	0.000652612	3.94063e-06	1.34402e-06	0	0	0	0	0	0	5.99828e-06	0	0	0	0	0.000651759	0	0	0	0	0.00032824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.00381655	2.39013e-05	7.33422e-05	0	0.00169758	3.75473e-05	1.79266e-06	0.000359872	9.55313e-06	0.000648107	0	0	9.7917e-07	3.14767e-05	8.35598e-07	0	1.72929e-05	0.00487067	0	0	0.000263388	1.17575e-06	2.42729e-05	0	0	1.32786e-06	0	1.96232e-06	0	9.57824e-07	0	0	0	0	0	0	0	0	9.16386e-06	0	0	0	0	0.000334453	0	0	0	0	0	0	0	0	0	0	0	0	2.69972e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00815743	1.36657e-05	3.14014e-05	3.35614e-05	0.000378229	1.78953e-05	2.37219e-05	3.31204e-06	5.39946e-06	3.69584e-06	0	4.78416e-06	2.71241e-05	3.14653e-05	1.12988e-05	0.00102521	0	0	2.11932e-06	0	5.0181e-06	1.18921e-05	0	1.63754e-05	0.000546505	0.0050735	0.00451935	6.09427e-06	0	0	0	0	0	0	0	3.08276e-07	0	1.05651e-05	0.00388326	0	0	0	0.000997855	0	3.15831e-06	4.77618e-06	0	0	0.00451464	0	0	0	0	0	0	0	0	0	0	0	0.000344144	0	0.000654227	0	0	0	0	0	0	0	0	0	0	0.000644195	0.000966293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00291402	0.000563097	2.97637e-06	3.96322e-05	2.57627e-06	1.01196e-05	7.36848e-06	5.98508e-06	3.67319e-05	1.27579e-05	9.73646e-06	3.85644e-05	2.56742e-05	9.71836e-06	4.57504e-06	0.000220149	0	0	9.00883e-06	5.73973e-08	9.89344e-07	0	0.00450937	2.51515e-07	6.37968e-07	0.00034095	0	0	0.000331525	0.000346184	0	9.39821e-06	2.47853e-05	0	0	3.06589e-06	0	3.30973e-06	0	0	0	1.47326e-05	0	1.51982e-06	0	0	0	0	0	0	0	0.000342822	0	0	0	0	0	0.000644195	0	0	0.00451173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.00176296	0.00010077	0.000554363	1.62169e-05	0.00456246	3.11523e-06	5.58138e-05	2.9782e-06	0.00456626	1.03735e-05	9.75149e-07	0	7.72601e-07	1.14448e-05	0.000529962	2.53416e-05	0	0.00574212	0	0	0	0.00484637	9.20014e-06	0	0	0	0	0.000647576	0.000159798	0	0	0.000132178	0	0	0.00131324	0	0.00451411	0	0	0	0	0	0	0.00035077	0	0	0	0	0	0.000193259	0	0	0	0	0	0	0	0	0	0.000345842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.000841413	1.61256e-05	4.66537e-06	0.000678912	1.13491e-05	0.000227491	8.04723e-06	1.99273e-05	4.73618e-06	1.60475e-05	1.51085e-06	1.44068e-05	6.58931e-07	5.93565e-06	6.25293e-06	6.59031e-06	7.84097e-07	8.21511e-06	0	0	0	1.26066e-05	1.4484e-05	1.21798e-06	0	0	0.000142731	0	0	0	0	0	0	0	1.2843e-06	0	3.83226e-05	0	0	1.32589e-05	4.56506e-06	0	0	0	0.000545161	0	0	0	0	0	0	0	0	0	0	0	9.83304e-06	0	0	0	0	0.000977541	0	0	0	0	0	0	0	0	0	0	0	0	7.51852e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_10	0.00613066	1.52994e-05	1.27401e-05	0.000359364	0	3.57538e-05	6.30499e-06	0.000322098	0	0	0.000340638	0	0	0	5.63277e-06	8.89596e-06	0	3.03393e-05	4.12344e-06	8.6803e-06	0	1.62216e-05	8.03981e-06	0	0	0	0	0.000360518	0.000211917	1.87727e-05	0	0	5.76795e-06	2.27385e-06	0	0.00388958	2.10423e-05	0	0	0	0	0	0	1.06077e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
