	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_0	0	0.0869625	0.0332544	0.00667964	0.00291054	0.0013147	0.000713259	0.000931694	0.000872342	0.000230542	9.0585e-05	0.000285449	3.63155e-05	2.20123e-05	4.06116e-05	1.20122e-05	1.4373e-06	0	1.81015e-06	8.76419e-06	0	0	0	0	7.90517e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.087793	0.00129049	0.000464218	0.000533132	0.000458461	0.000185145	0.000466531	5.46176e-05	6.85086e-05	7.23691e-05	0.00693683	0.000103483	5.74922e-06	0.00608086	1.05433e-05	0	0	3.59326e-06	7.18652e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.024473	0.000733689	0.00290866	0.000382494	0.000786144	0.000579163	0.000141505	0.000155734	7.07214e-05	7.54585e-06	4.16818e-05	3.32776e-05	7.18652e-07	0.00628249	1.7607e-05	6.828e-05	3.08846e-05	1.61206e-05	0	0	0	0	0.000562562	0	0	0	0.00728017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0157474	0.00104136	0.00214888	0.000491345	0.000991325	0.00508064	0.00126006	9.29216e-05	0.000135757	8.85776e-05	3.39224e-05	0.000829332	9.70954e-06	0.000825615	1.46521e-05	2.666e-05	0	0	7.18652e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.00899218	0.00663203	0.00147433	0.00244439	0.00117843	0.000556401	0.000954234	8.16418e-05	0.000114967	5.01224e-05	0.000488583	6.3156e-05	2.04726e-05	2.23881e-05	3.95202e-05	2.39312e-05	7.18652e-07	0	0	1.63556e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.00425271	0.000254827	0.00668037	0.000691343	0.000226283	0.00220998	0.000504567	7.03449e-05	6.14981e-05	5.9491e-05	4.56948e-05	2.67285e-06	4.27866e-05	1.4373e-06	4.3913e-06	3.51603e-05	3.36844e-06	1.21718e-05	3.62752e-05	1.47948e-05	0	5.94452e-06	0	0	0	0	0	0	0	0	1.04269e-05	0	0	0	0	0	0	0	3.14327e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00843249	0.000433942	0.001894	0.000159187	0.000618518	9.36628e-05	0.00495949	0.0057066	0.00135891	0.00719784	0.00574776	5.44486e-05	0.002023	3.30034e-05	0	0.000429387	3.09462e-05	2.5763e-06	0.000702709	4.43103e-06	9.06942e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00113707	0.000216003	0.000294501	0.00762677	0.000150062	0.00176805	6.10733e-05	6.57389e-05	7.68514e-05	0.0007754	4.26984e-05	7.54585e-06	7.08356e-05	2.7406e-05	4.23507e-05	0	0	0	1.06174e-05	1.28094e-05	0.0056325	0.000280573	0.000413642	0	0	7.18652e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.00647453	0.000814918	0.000865373	0.00013856	0.00032678	0.00014123	0.000560289	0.00579317	4.28389e-05	0.00135074	0.00048497	0.00636525	2.06853e-05	5.49415e-06	1.54834e-05	0.00685144	0	0	0	0	0	0.000439326	0	0.000431506	0	7.18652e-07	0.0068794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.00132509	9.12509e-05	0.00010504	0.00010044	0.000117674	6.81046e-05	0.00128778	0.000346287	7.54585e-06	3.17878e-05	4.30843e-05	1.65428e-05	3.10925e-05	9.70181e-06	0.000888386	2.60374e-06	3.02555e-05	0	3.94235e-05	1.51966e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
