	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94	d0_95	d0_96	d0_97	d0_98	d0_99	d0_100	d0_101
d1_0	0	0.140569	0.0271712	0.0132579	0.00970605	0.00490975	0.0140899	0.00859819	0.00746813	0.00551079	0.00575337	0.00270116	0.00366746	0.000426003	0.000452365	0.000861843	0.000231339	0.00602031	0.0051298	0.000945753	0.00869602	0.00508142	0.00106416	0.000281176	0.000446328	0.00106936	0.00525795	8.73362e-05	0.00127638	0.000721279	0.000706453	0.000397601	0.000996048	0.000400321	6.50773e-05	2.23857e-06	0.00139795	3.09578e-06	2.27879e-05	0.000686304	2.05693e-05	0.000214642	8.13238e-08	2.09847e-05	3.18171e-07	6.25544e-06	5.18616e-06	1.4281e-05	0	2.59828e-06	0	0	4.22435e-06	0	0	0	0	0	0	0	5.11899e-06	0	0	0	0	0	0	0	0	0	3.32077e-07	0	0	0	0	4.38989e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_1	0.0745466	0.00119116	0.000481024	6.45826e-05	0.00039084	4.9271e-05	0.000698396	4.17599e-05	7.1849e-06	5.26004e-05	0.00133928	2.2373e-05	3.90043e-06	3.58563e-05	2.50294e-06	7.8628e-06	1.48857e-06	1.76086e-06	3.38773e-05	7.32738e-06	0.000240496	0.000755266	2.40067e-05	1.07423e-05	3.20441e-05	0.00455902	0.000332948	0	2.89292e-05	0.000334452	2.53196e-05	0	0	0	1.18322e-05	0	1.39541e-07	0	9.92927e-06	0.000340061	0	7.63499e-06	0	0	0	0	0	9.86764e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_2	0.019674	2.1129e-05	0.000565592	0.00458812	5.76694e-05	2.92371e-05	2.24211e-05	3.24295e-05	0.000383253	0.00138684	0.00122797	8.53697e-07	2.72978e-05	0.00116623	4.20914e-06	2.04693e-05	1.26602e-05	6.8442e-06	1.58707e-05	0	1.81618e-05	0	1.63069e-06	0	5.66027e-06	0	0	0	1.2228e-06	0	0	0	4.25433e-06	0	0	0	0	0	0	6.54557e-06	0	0	4.46213e-08	0	7.57885e-06	0	0	0	1.63496e-06	0	0	0	0	0	0	0	0	0	0.000351735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_3	0.0118432	0.00102645	8.64157e-06	1.12275e-05	0.000246681	0.000377263	8.71327e-06	1.93173e-05	7.48204e-06	0.00133551	7.80163e-07	1.35906e-05	1.27391e-06	0.00100908	1.97181e-05	5.72905e-06	0.000359132	2.58638e-05	1.18435e-05	0.000683749	0.000648036	5.36335e-05	2.49497e-05	0	2.66538e-05	1.90897e-05	0.00100597	0	0	6.42842e-06	6.21348e-06	0	0	0	2.68453e-06	0	0	3.66377e-06	0	0.00488623	0	1.24442e-05	0.00454006	0	0	0	0	0	1.36299e-05	0	0	0	8.87369e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_4	0.0041373	3.44773e-05	1.33768e-05	1.51389e-05	3.73864e-05	1.09181e-05	3.28997e-05	4.91158e-06	2.06829e-05	2.50625e-05	0	7.61011e-07	0.000248	0.000682544	1.21829e-05	1.17249e-06	2.75127e-07	0.00522007	2.42786e-06	3.99627e-06	0.000194254	0	0	1.39419e-05	3.17471e-06	0	0	0	0.00133515	0	1.47072e-05	2.19046e-05	0	4.33813e-06	0	0	0.000670559	0	0	0	0.000344569	0	0	1.60744e-05	0	0	0.000228373	0	0	0.000647515	0	0	0	0	0	0	0	0	0	0	0	0	0	6.56447e-06	0	0	0	0	0	0	0	0	0	0	0	0	6.46273e-06	8.97794e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_5	0.00357194	1.58267e-06	3.1038e-05	7.26675e-06	4.12335e-05	1.05292e-05	2.32132e-05	0.00944315	0	0.000243805	2.78182e-07	1.48086e-05	1.85466e-05	1.84504e-06	0.00523667	1.03988e-06	1.45061e-05	0.000986584	1.17502e-05	0.000374159	0.000355742	1.3534e-06	1.30852e-05	6.88482e-06	1.10699e-05	1.01025e-05	8.73067e-06	4.9688e-06	6.72341e-06	0	0.000664234	0.000236575	0	7.96765e-06	0	0.000160002	1.3794e-06	0.000522713	0	0	0.000991278	0	0	0	2.13576e-05	0	0	0	0	2.28789e-05	0	2.73237e-07	2.3772e-06	0	0	0	0	0	0	0	0	0	0	0	0	4.92495e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_6	0.00199659	0.0048956	0.00103189	2.78771e-06	2.22883e-05	0.000690411	2.52297e-05	0.00169069	0.000190538	0	3.0528e-05	0	7.94604e-06	0.000647515	1.11469e-06	0	1.04656e-06	0	2.73782e-05	7.88123e-06	3.40823e-08	0	0	4.83198e-06	1.03553e-05	0	0	0	0	0.000647515	0	0.00068096	0	0	0	0.00022017	0	0	0	0	1.60302e-06	0	0	0	0.00021743	0	0	0	1.83539e-05	0	1.31454e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34449e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_7	0.00210987	1.43711e-05	1.19848e-05	8.03456e-06	0.00489297	0.000560736	0	2.50936e-06	3.26502e-05	7.66705e-06	0.000991518	2.62399e-05	0.000360965	4.61962e-06	0.0019715	1.04488e-07	1.87253e-06	0.00392213	1.9249e-05	3.85193e-06	0	7.65893e-06	0	1.60078e-05	2.70731e-06	1.06997e-06	0	0.000335372	0.000670703	7.57641e-06	0	0	0	0.000658476	0	9.91877e-07	0	0	0	0	0	0	0	0	0	0	0.0003463	0.000649814	0	0	0	0	0	1.07994e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.39316e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_8	0.00591886	5.10018e-05	1.3733e-05	1.70872e-05	5.71e-06	4.6829e-05	2.38914e-05	1.07034e-05	3.30112e-05	2.86198e-05	1.59033e-05	0	0	0.000693505	0.00520599	1.45998e-07	2.56596e-05	1.54388e-05	7.43591e-06	4.2818e-06	0.00455068	1.0523e-05	1.86282e-05	4.00367e-06	0	1.57251e-05	0	9.3298e-06	1.44555e-05	0	1.85129e-05	4.78559e-06	4.23423e-06	0.000653565	0	2.71208e-05	3.28331e-06	0	0	0	0	0.000995083	0	0	0.00486443	0	2.7857e-05	0.00455441	0	0	0	0.00456238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_9	0.000808587	4.37611e-05	1.49164e-05	2.74668e-06	1.29935e-05	0.00459429	0.00055631	2.03648e-05	5.21119e-07	1.3727e-05	0.000373404	1.19959e-06	1.1118e-05	2.96482e-05	3.82059e-06	2.62931e-06	0.000537212	0	0.000220739	2.62318e-05	1.02564e-05	3.19028e-05	0.000656077	0.000356428	6.07967e-06	2.18084e-05	0	9.87337e-07	0	1.2207e-07	1.28331e-05	0.00488687	3.51388e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000134889	0	0	0	0	0	0.000194254	0	0	0	0.000971272	0	0.000971272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
