	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94	d0_95	d0_96	d0_97	d0_98	d0_99	d0_100	d0_101
d1_0	0	0.137118	0.0280549	0.0113458	0.00597236	0.00336464	0.00385089	0.0036091	0.0106913	0.0031704	0.015985	0.00194339	0.00220178	0.000397691	0.00179741	0.000291727	0.0046496	0.000663491	0.00213594	0.00532985	0.00060235	0.000693267	0.00118363	0.00627448	0.000629788	0.000705103	0.00106806	0.00621814	0.0055339	0.000104771	0.00101814	2.66968e-05	0.00494098	0.000281766	0.000477097	3.61961e-05	4.45357e-05	0.00131121	1.18099e-05	7.10786e-05	7.38802e-06	0.000147999	3.31834e-06	5.60998e-07	0.0038111	0.000534974	0	0.000188231	9.18416e-06	0.000314766	1.84488e-05	7.01675e-06	1.13002e-05	0.00161601	0	0	0	0	0	0	1.5102e-06	0	0	0	6.39359e-06	0	0	0	0	0	0	0	0	0	0	0	3.84669e-06	0	0	0	3.87982e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_1	0.0718864	2.52158e-05	0.000235269	6.38331e-05	0.000228539	5.23973e-05	0.000709592	0.00117329	4.76252e-06	2.40253e-05	0.000667995	6.84771e-05	1.08513e-05	4.77501e-05	3.62803e-05	1.92203e-07	0.00527041	0.000515829	1.82716e-05	6.71364e-06	0	0.00116471	1.59609e-05	0	2.58696e-05	2.38123e-05	0.000346408	0.00473939	1.02882e-05	0	0	4.06891e-06	2.47593e-05	0	7.06335e-06	0.000657935	4.43786e-06	0	0	0	0.000134626	0.000652537	4.4691e-06	0	4.19562e-06	3.42825e-06	0.00112938	0	0	0	0	0	0	0	0	0	0	6.14823e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_2	0.0184183	2.54691e-05	0.00476499	5.49505e-06	3.46795e-05	3.58198e-05	0.00151499	1.75298e-05	0.00033614	0.000416178	6.23511e-05	3.88543e-06	0.00162924	1.88893e-05	1.78634e-06	0	0	0.00114899	8.06601e-06	0.00443758	1.31884e-05	0.0049169	0	6.81554e-07	0.00514837	0	0	1.8731e-05	0.000203897	0.000339227	0	0	0	0	0	7.09661e-06	0	0	0	0	2.2987e-06	0	0	0	0	0	0.000627436	0	0	0	0	5.65128e-07	9.51718e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000965152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_3	0.00793924	4.57618e-05	0.000240683	0.0010159	2.76161e-06	9.29286e-06	1.13564e-05	2.01691e-05	1.00531e-05	8.7964e-06	0.00444343	4.62957e-05	7.6084e-06	0	0.00381419	0.000348794	0.00551213	1.09391e-05	0.000356564	0	0.000971315	1.52839e-05	0	0.000627436	0	0	0	0	1.64072e-06	1.72415e-05	0	0	0	6.51501e-06	0	0	0	0	0	0	0	0	0	0	0.000313718	0	0	2.63796e-06	0	0	0	0	0	0	0.00490831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000627436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_4	0.00378623	3.13184e-05	6.25853e-05	0.000562684	1.16684e-05	1.59712e-05	3.69909e-07	2.9862e-05	0.0051445	1.14901e-05	8.71018e-06	2.19709e-05	3.23146e-05	0.000219846	1.11264e-05	4.19396e-06	2.55831e-05	6.28122e-06	0.00051917	0	0	4.45925e-06	2.28895e-05	0	0	1.60948e-05	0.000507861	1.78418e-06	0.000199265	0	0	0.000338838	0.000159695	6.87212e-06	0	0	1.64794e-06	7.03795e-06	0	1.41018e-06	2.71747e-05	6.59796e-06	0	0	0	0	0	0	0	0	0	0	0.00031478	0	0	0	0	0	0	1.32574e-05	0.00112938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_5	0.00393973	0.000238806	3.65446e-05	0.000708806	1.88714e-05	0.000671044	4.79718e-05	3.81442e-05	4.84243e-05	1.1289e-05	0.000222748	3.63669e-07	0.000983931	6.13013e-06	7.04275e-06	0.000355079	0	0.00623324	0	0.00439205	0.000949345	1.56115e-05	0	0.00378433	2.43814e-05	6.18936e-07	0	0	0	1.29761e-05	0	0	1.29301e-05	1.75333e-06	0	0	1.5838e-05	3.35294e-06	1.80026e-05	0.000953582	6.22893e-06	0	0.00490158	0	1.37639e-07	0	0	0	0	0	0	0	0	0	0	0	0.000948744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000627436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_6	0.00258013	0.00557364	1.19948e-05	5.58629e-05	1.84234e-06	1.38179e-05	0.00440201	2.01481e-06	0.0017286	1.67047e-05	1.44298e-05	4.82721e-05	8.23167e-06	3.08257e-06	1.1046e-05	6.481e-06	0.000357813	4.82147e-06	8.19891e-07	0	0	0	0.000957063	5.57974e-06	0	0.000323436	0	0.000331478	0.000523238	0	0	0	0.000655122	0	0.000627436	0	0	0	0	0	0	0	1.67379e-05	0	5.46399e-08	0	2.18974e-06	8.91585e-07	1.83794e-05	0	0	0	0	0	0	0	0	0.00439205	0	0	0.000655248	0.00439205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000208416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_7	0.00728903	6.38169e-06	2.65353e-05	3.09975e-05	7.39016e-06	0.000655844	0.000646758	1.38228e-06	0.000635106	2.37822e-05	7.92574e-07	2.14045e-05	1.48369e-05	0.000627436	0	0	0.00138584	0.000357478	0	0.000253366	0	7.8546e-06	3.72205e-05	4.9905e-07	2.01393e-05	0	0	0.000641676	7.75388e-07	1.95659e-05	0	0	0	3.25187e-06	0	0	0	0	0	0	0	0.000627436	0	0	0	5.45754e-06	0	0	0.00126454	0	2.63042e-05	0	0.00440444	0	0	0	0	0.00490877	0.000331352	0	9.84848e-07	0	0	0	0	0	0	5.47451e-07	0.00439205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_8	0.00144383	1.71094e-05	0	0	0.000645234	0.00037064	1.12533e-06	1.16049e-05	0.000364569	6.57472e-06	4.05464e-06	0.000331268	0	0.000665437	0.00181702	3.6247e-06	0.000347923	9.59786e-06	0	1.53495e-05	8.7533e-06	5.02151e-06	0.000333716	0.000442994	0	0	0	1.53817e-06	1.5461e-05	9.61951e-06	1.30109e-05	0	6.65323e-07	0	1.01984e-05	0.00492357	0	0.000313718	0	0	0	0	0.000314752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_9	0.000693375	7.67496e-07	5.35565e-06	0.000237971	2.63077e-05	2.61282e-05	7.73486e-06	0	1.05897e-05	1.7431e-06	0.000355769	0	5.78412e-06	4.91178e-05	2.03515e-05	0.00033165	0.000628385	6.38617e-06	0	1.47068e-05	9.68482e-06	1.40842e-05	0	5.96754e-06	1.49171e-05	0	0.000149088	1.21561e-05	0	0	1.00776e-05	8.03381e-06	0.00491462	0	0	5.63466e-06	0	0	0.000317336	0.000518073	0.000629086	0	0	0	0	3.40278e-06	0	0	3.36409e-06	2.20988e-05	0	0.000631295	0	0	0	0	0.000627436	0	0	0	0	0.000957081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00051707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
