	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94	d0_95	d0_96	d0_97	d0_98	d0_99	d0_100	d0_101
d2_0	0	0.135635	0.0272065	0.0112013	0.0059075	0.00336855	0.00518577	0.00358112	0.010546	0.00291056	0.0062579	0.00193231	0.00134255	0.00065322	0.00131668	0.000292131	0.00926809	0.001167	0.00211726	0.000588794	0.000592609	0.00069098	0.00115	0.00585615	0.00134864	0.000272489	0.00155687	0.0108251	0.00586492	0.000394821	0.00100477	2.63741e-05	2.91345e-05	0.000284797	0.000376735	3.57585e-05	3.73553e-05	0.00128344	2.68561e-06	0.00100907	7.29871e-06	2.22393e-05	7.6933e-06	5.54216e-07	0.00376931	0.000528507	0	0	9.07314e-06	1.03531e-06	1.82258e-05	4.20678e-06	1.11636e-05	0.000963736	0	0	0	0	0	0	5.02846e-07	0	0	0	6.31631e-06	0	0	0	0	0	0	0	0	0	0	0	3.80019e-06	0	0	0	3.83292e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0611959	0.000325427	8.15964e-06	0.000678012	0.000214231	2.31564e-05	0.00439495	2.55274e-05	7.10498e-07	0.000280081	8.90621e-06	2.4038e-06	0.000516989	8.03846e-06	8.72979e-06	0	1.36889e-06	0.000347067	0.000342766	0.00470024	0	0	0.000934494	0	2.27825e-05	0	0	2.68539e-06	5.33187e-06	0	0	0	0.000155231	2.46923e-06	0	0	0	0	0	0	0	0	0	0	5.39794e-08	0	0.000619851	0	1.81573e-05	0	0	2.72515e-06	0	0	0	0	0	0	0	0	0.00111573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0225669	1.50263e-05	0.000232112	5.4045e-05	1.51134e-05	2.18281e-05	0.000337737	1.78538e-05	2.8252e-05	0	0.00486366	2.91037e-05	2.76858e-06	0.000549989	2.45697e-05	6.05072e-07	4.30822e-07	6.33736e-06	0	1.12447e-05	1.21636e-06	1.81842e-05	2.20626e-05	8.14269e-06	0	0	0	0	0.000964748	3.39419e-05	1.05541e-06	0	0	0	1.04139e-05	0	2.56787e-06	0	8.98151e-06	0.00434216	0	0	0	0	0	0	0	0	0	0	0	0	0.0043512	0.000632741	0	0	0	0	0	0	9.89097e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0109942	2.96588e-05	3.27009e-05	0.000386587	1.27202e-05	4.21224e-05	3.05427e-06	1.11059e-05	5.53049e-06	3.40409e-06	4.82944e-05	6.60838e-06	0.000992742	9.51921e-06	3.60309e-05	0.0048732	0.000353307	2.73322e-06	1.53208e-06	1.33503e-05	1.2438e-06	3.88626e-06	2.88369e-06	0.000342815	1.92607e-05	0	0	5.96176e-06	0.000212641	0	9.95575e-06	7.671e-07	7.3491e-06	0	0	0	4.38422e-06	0	0	0	2.68462e-05	0	0	0	0	0	0	0	0	0	0	0	0.000310975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.51671e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.0126845	1.96207e-06	0.000987897	0.000973477	1.12889e-05	1.84003e-05	8.08103e-06	1.14686e-05	7.08273e-06	2.45833e-05	0.00533318	0	4.18961e-05	1.24905e-05	5.34191e-06	0.000135879	8.1618e-06	9.7656e-06	8.0998e-07	0	0	0.00484959	3.19739e-05	0	1.96913e-05	0.000640722	0	0	0.000519671	0.000619851	0	0	2.53427e-06	0	0	0	0	3.31241e-06	0	0.000319191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30971e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.00798981	4.44707e-05	2.43012e-05	4.31506e-06	3.20238e-06	9.73073e-06	0.000360313	8.04152e-06	8.35239e-06	9.72103e-06	0	1.22743e-05	4.71977e-06	0	0	8.44681e-06	0.000342786	0	1.69115e-06	0	0	3.6104e-06	0.000508629	0	4.39535e-06	0	0	0	5.91077e-06	9.50322e-06	0.000321981	1.60729e-05	0.000649126	0	0.000101234	9.43131e-07	0	1.19165e-05	1.77849e-05	0	0	0.00012397	0	0	0	0	0	0.000185955	0	0	0	0	0	0	0	0	0	0	0	0	0	4.20901e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000205897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00313116	2.17533e-05	7.85822e-06	1.71791e-05	3.7279e-05	8.80301e-06	0.000980453	1.92902e-05	5.71681e-06	4.07303e-06	2.71097e-06	0	6.14491e-06	0.000619851	9.05708e-07	0	0.00180499	1.24514e-05	8.7562e-06	0	1.3029e-05	2.87298e-05	9.55921e-06	3.39032e-07	0.00437063	0	0	0	1.45494e-05	0	0	7.9367e-06	0.00970733	6.78905e-06	0.000621381	7.01082e-06	0.000238825	7.30605e-06	0	0	6.3483e-06	0	0	0	0.000309925	3.36165e-06	0	2.60607e-06	0	0	0	4.37149e-06	0	0	0	0	0.0009317	0	0	0	0	0.000945511	0	0	0	0	0	0	0	0	0	0.000619851	0	0	0	0	0	0	0	0.000619851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00174371	1.32364e-05	3.78566e-05	1.59001e-06	5.14281e-06	6.68767e-06	5.48532e-06	4.5629e-06	2.71666e-05	1.45823e-05	3.80741e-06	5.13412e-05	0.000959413	1.06287e-06	3.3933e-05	3.20751e-06	1.94405e-05	7.91048e-06	0	0	0	0	2.57643e-05	5.8954e-06	0	1.52417e-06	0	0.000635682	1.14242e-05	0	3.88919e-06	1.37312e-05	6.58507e-06	0	0	0.00486159	4.42899e-06	6.95288e-06	0	0	0	0	0	0	7.07704e-06	0.00114727	0	0	0	0	0	0	0	0	0.00484898	0	0	6.0739e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000619851	0.00464888	0	0	0	0	0.00143182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.00192754	3.58345e-05	0.00467837	5.12018e-05	1.85934e-05	4.03162e-06	0.000938697	1.74992e-05	0.00507319	0.000345974	0.00460343	9.36367e-07	0.000943271	3.10766e-06	5.7505e-09	0.000326121	0.000520221	0.00464888	0	1.78996e-05	0	0	1.00735e-06	0.000429497	0	0	0	0	0	0	0	0	3.30276e-05	1.51333e-08	0	0	3.85943e-06	0	0	0	0	0	6.50025e-06	0	0	0.000619851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.00238804	1.62833e-05	0.000212808	4.75406e-06	0.000639974	0.000963215	1.53849e-06	0	2.99023e-06	3.7607e-07	8.30364e-07	0	5.00848e-06	0.000638381	0.000424719	1.06781e-05	4.5645e-06	1.09707e-05	0	0.00437763	1.65723e-06	0	0	5.8505e-06	0	0	0	0	1.28155e-06	3.1129e-05	0	0	0	0	0	3.89525e-07	1.37378e-06	0	0	0	6.15363e-06	6.51821e-06	1.63352e-05	0	0	0	0	2.34496e-06	0.00498632	0	0	0	9.40214e-07	0	8.49494e-06	0	0	0	0	0.000329728	0	0	0	0	0	0	0	0	0.000953485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
