	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62
d2_0	0	0.093033	0.020739	0.00620793	0.003903	0.00329004	0.000794679	0.000437449	0.000265998	0.000156965	7.14137e-05	0.00033593	3.39783e-05	3.92346e-05	7.26577e-06	3.34633e-05	3.95643e-06	0.000264303	0	1.95101e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0754933	0.000964504	0.00184479	0.000679197	0.00177722	0.00150558	0.00685589	0.000164102	9.2548e-05	7.08287e-05	6.18604e-05	3.3145e-05	7.25345e-06	1.81724e-05	0.000784918	2.63762e-06	0	2.29683e-05	6.59405e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.031123	0.00125786	0.000421588	0.000626657	0.000195899	0.000159807	0.000119478	0.0052949	8.95288e-05	5.29868e-05	0.000649886	0.00020134	1.2261e-05	1.80501e-05	0.00632337	3.31696e-05	4.06352e-06	1.36683e-05	7.19913e-07	0	0	1.31909e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0127843	0.000491467	0.000793037	0.000263639	0.000659058	0.000104625	0.000535033	0.000171895	7.88601e-05	0.000206862	7.82909e-05	0.00583879	2.17235e-05	3.13903e-05	2.32882e-05	0	0.000269213	0	1.49545e-05	0	0	0	1.58842e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.0121376	0.00112554	0.00723391	0.00133842	0.000233283	0.00014361	0.0018922	0.00568755	2.91224e-05	6.42547e-05	1.97164e-05	3.46181e-05	0.00019168	4.23348e-05	1.68532e-05	0.00116246	0.000737497	0.000379773	0	0	0	6.24198e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.00892108	0.000709953	0.000177698	0.000628083	0.000131607	0.000133554	0.00106621	9.97869e-05	5.3754e-05	1.25287e-05	1.08625e-05	2.25982e-05	2.26142e-05	2.40181e-05	2.65846e-05	2.00962e-05	0.000608133	8.04472e-06	0	0	0	0	0.000405198	0	0	0	0	0	6.73374e-06	0	2.57225e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00853259	0.000159714	0.00582077	0.00181435	0.000134969	0.00194457	0.000809603	0.00324701	3.84118e-05	0.0069787	6.15212e-05	4.12814e-05	1.71132e-05	1.09234e-05	4.72207e-05	0.000267415	4.61583e-06	3.29702e-06	1.97821e-06	3.95643e-06	0	0	0	0	0	0	0	2.79057e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00110243	0.000260137	0.000118377	0.00596993	0.000138028	0.00126585	9.409e-05	0.000776059	0.00586765	8.09917e-05	6.87634e-05	0.00688547	1.67648e-05	4.82462e-05	8.55245e-06	6.59405e-07	3.13048e-05	1.71579e-05	0	1.27653e-05	0	3.95643e-06	1.27711e-05	8.70656e-07	8.42024e-06	0	0	0	0	0.00246723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.000688527	0.000745063	0.00164404	0.00569317	0.0061134	0.00589087	9.59942e-05	4.68172e-05	0.000529663	0.000394458	0.00138687	0.00558311	2.30792e-06	2.63762e-06	9.23167e-06	0.00114782	1.03903e-05	3.11879e-05	0	0	2.37531e-06	0	0	0	0	2.27106e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.00101732	4.56849e-05	0.00118712	9.42194e-05	3.80831e-05	0.00124357	3.33397e-05	0.000687199	0.00160375	1.43415e-05	9.58735e-06	5.36513e-05	0.000420935	0.00122356	0.00594469	0.00518126	1.01991e-05	2.25242e-05	0.000264302	6.26435e-06	0	3.23794e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
